order,note_id,status,text,tokens,new_tokens
58,1777363692878,KEEP,Este resultado no es bueno,bueno | este | no | resultado | ser,bueno | resultado
59,1777363704193,KEEP,Fue una decisión muy difícil ayer,ayer | decisión | difícil | mucho | ser | uno,decisión | difícil
60,1777363743838,KEEP,Ser honesto siempre vale la pena,el | honesto | pena | ser | siempre | valer,honesto | pena | valer
61,1777363756575,KEEP,Voy a hacer ejercicio mañana temprano,a | ejercicio | hacer | ir | mañana | temprano,ejercicio
62,1777363812878,KEEP,Son mis compañeros desde la universidad,compañero | desde | el | mi | ser | universidad,compañero | desde | universidad
63,1777363818362,KEEP,No todos entienden esta explicación,entender | este | explicación | no | todo,explicación
64,1777363827351,KEEP,Antes todo era más sencillo aquí,antes | aquí | más | sencillo | ser | todo,sencillo
65,1777363835492,KEEP,¿Eres tú la persona responsable?,el | persona | responsable | ser | tú,persona
66,1777363854160,KEEP,Es la primera vez que vengo,el | primero | que | ser | venir | vez,primero
67,1777363930303,KEEP,Creo que ya no funciona bien,bien | creer | funcionar | no | que | ya,creer
68,1777363945506,KEEP,Ella todavía trabaja en ese proyecto,en | ese | proyecto | todavía | trabajar | él,trabajar
69,1777363952250,KEEP,He visto esa película muchas veces,ese | haber | mucho | película | ver | vez,película
70,1777363959594,KEEP,No quiero comprar ese producto,comprar | ese | no | producto | querer,comprar | producto
71,1777363983496,KEEP,Voy a llamarte después de cenar,a | cenar | de | después | ir | llamarte,cenar | después | llamarte
72,1777363991043,KEEP,Puede que lleguemos tarde mañana,llegu | mañana | poder | que | tarde,llegu | tarde
73,1777364002157,KEEP,¿Sabes dónde dejé mis llaves?,dejar | dónde | llave | mi | sabes,dejar | sabes
74,1777364020875,KEEP,"Hola, ¿ya terminaste el informe?",el | hola | informe | terminastar | ya,hola | terminastar
75,1777364026545,KEEP,Sus ideas no coinciden con las mías,coincidir | con | el | idea | mía | no | su,coincidir | idea | mía
76,1777364031834,KEEP,No salí porque estaba muy cansado,cansado | estar | mucho | no | porque | salí,cansado | porque | salí
77,1777364038566,KEEP,Dios sabe lo que pasará mañana,dios | mañana | pasar | que | saber | él,dios | pasar
78,1777364043949,KEEP,¿Quién te contó esa historia ayer?,ayer | contar | ese | historia | quién | tú,contar | historia | quién
79,1777364050199,KEEP,Nunca he probado ese tipo de comida,comida | de | ese | haber | nunca | probar | tipo,comida | probar | tipo
80,1777364072847,KEEP,¿Dónde vas a pasar las vacaciones?,a | dónde | el | ir | pasar | vacación,vacación
81,1777364103070,KEEP,¿Quieres venir conmigo esta noche?,conmigo | este | noche | querer | venir,conmigo | noche
82,1777364115314,KEEP,Mi casa queda cerca del trabajo,casa | cerca | del | mi | quedar | trabajo,casa | cerca | quedar
83,1777364128973,KEEP,"Hazme un favor, cierra la puerta",cerrar | el | favor | hazme | puerta | uno,cerrar | favor | hazme
84,1777364135710,KEEP,Esa decisión no tiene sentido ahora,ahora | decisión | ese | no | sentido | tener,sentido
85,1777364144361,KEEP,Compré dos entradas para el concierto,comprar | concierto | el | entrada | para,concierto | entrada
86,1777364149996,KEEP,No es tan complicado como parece,como | complicado | no | parecer | ser | tanto,complicado | parecer | tanto
87,1777364156104,KEEP,"Señor, su mesa está lista ya",estar | listo | mesa | señor | su | ya,mesa | señor
88,1777364173192,KEEP,¿Dices la verdad o estás bromeando?,bromear | decir | el | estar | o | verdad,bromear
89,1777364179989,KEEP,Estaba pensando en cambiar de trabajo,cambiar | de | en | estar | pensar | trabajo,cambiar | pensar
90,1777364219009,KEEP,Hoy me siento mucho mejor que ayer,ayer | hoy | mejor | mucho | que | sentir | yo,mejor | sentir
91,1777364226288,KEEP,Mis amigos están en la oficina ahora,ahora | amigo | el | en | estar | mi | oficina,oficina
92,1777364231426,KEEP,El tren va directo al centro,al | centro | directo | el | ir | tren,centro | directo
93,1777364238877,KEEP,Ese hombre nunca dice la verdad,decir | el | ese | hombre | nunca | verdad,hombre
94,1777364245761,KEEP,¿Usted necesita ayuda con eso?,ayuda | con | ese | necesitar | usted,ayuda | usted
95,1777364256650,KEEP,No tengo mucho interés en eso,en | ese | interés | mucho | no | tener,interés
96,1777364265168,KEEP,Hace frío por la mañana aquí,aquí | el | frío | hacer | mañana | por,frío
97,1777364274593,KEEP,Entonces hablamos después de la reunión,de | después | el | entonces | hablar | reunión,entonces
98,1777364280237,KEEP,Siento que algo no está bien,algo | bien | estar | no | que | siento,siento
99,1777364285354,KEEP,Tenemos que resolver este problema pronto,este | problema | pronto | que | resolver | tener,pronto | resolver
100,1777364437976,KEEP,¿Puedes explicarme esto con más detalle?,con | detalle | este | explicar yo | más | poder,detalle | explicar yo
