Front	Back
This bag is too heavy to carry	Tas ini terlalu berat untuk dibawa
He knocked on the door, then entered	Dia mengetuk pintu, lalu masuk
Who knocked on the door earlier?	Siapa yang mengetuk pintu tadi?
My child is very interested in science	Anakku sangat tertarik pada sains
Besides coffee, I also drink tea	Selain kopi, aku juga minum teh
The theory of evolution is still studied by scientists	Teori evolusi masih dipelajari para ilmuwan
This language is being studied by many people	Bahasa ini sedang dipelajari banyak orang
Has anyone ever lived here?	Adakah seseorang pernah tinggal di sini?
Is there another road to the market?	Adakah jalan lain menuju pasar?
Has he or she already read your message?	Adakah dia sudah membaca pesanmu?
Is there a reason you rejected that offer?	Adakah alasan kamu menolak tawaran itu?
I will not reject your help	Aku tidak akan menolak bantuanmu
We are walking toward the station	Kami sedang berjalan menuju stasiun
I want to improve my language ability	Aku ingin meningkatkan kemampuan bahasaku
Her cooking ability is getting better now	Kemampuan memasaknya semakin baik sekarang
I want to live healthier starting now	Aku ingin hidup lebih sehat mulai sekarang
That mountain view is truly amazing	Pemandangan gunung itu benar-benar luar biasa
That sea view is very amazing	Pemandangan laut itu sangat menakjubkan
The view from that hill is very beautiful	Pemandangan dari bukit itu sangat indah
Is this beach still beautiful now?	Apakah pantai ini masih indah sekarang?
Tomorrow I will climb this mountain	Besok aku akan mendaki gunung ini
Has that theory ever been tested by scientists?	Apakah teori itu pernah diuji ilmuwan?
This theory has not been tested scientifically	Teori ini belum diuji secara ilmiah
Will scientists test the new theory?	Apakah ilmuwan akan menguji teori baru?
I was born in a small city	Aku lahir di kota kecil
I do not yet know that baby's birth	Aku belum tahu lahirnya bayi itu
I did not pass the selection yesterday	Aku tidak lolos seleksi kemarin
I have not passed that exam yet	Aku belum lulus ujian itu
I want to live close to nature	Aku ingin hidup dekat dengan alam
Has the baby already fallen asleep soundly?	Apakah bayi itu sudah tidur nyenyak?
Is this the main goal of your trip?	Apakah ini tujuan utama perjalananmu?
I will reach that goal one day	Aku akan mencapai tujuan itu suatu hari
We finally reached the mountain summit	Kami akhirnya mencapai puncak gunung
He never talks about religion at the office	Dia tidak pernah membicarakan agama di kantor
Why were they talking about my problem earlier?	Mengapa mereka membicarakan masalahku tadi?
I have not said anything to him yet	Aku belum bilang apa pun padanya
Is somebody looking for me outside?	Apakah seseorang sedang mencariku di luar?
I am looking for something in the bag	Aku sedang mencari sesuatu di tas
You may choose anything later	Kamu boleh memilih apa saja nanti
I will try another one later	Aku akan mencoba yang lain nanti
I am trying to understand this problem	Aku sedang mencoba memahami masalah ini
I have not yet understood what you meant earlier	Aku belum memahami maksudmu tadi
What did your question mean earlier?	Apa maksud pertanyaanmu tadi?
Does this mean we must leave?	Apakah ini berarti kita harus pergi?
He has not answered that question yet	Dia belum menjawab pertanyaan itu
I used to live in a small village	Dulu aku tinggal di desa kecil
Back then I was ten years old	Dulu aku berumur sepuluh tahun
I did not like coffee before	Dulu aku tidak suka kopi
Earlier tonight I saw many stars	Tadi malam aku melihat banyak bintang
Last night we studied the Orion constellation	Semalam kami mempelajari rasi bintang Orion
I only have one chance	Aku hanya punya satu kesempatan
I have not eaten twice today	Aku belum makan dua kali hari ini
Have you already read three messages?	Apakah kamu sudah membaca tiga pesan?
I will stay four more days	Aku akan tinggal empat hari lagi
I no longer have five reasons	Aku tidak punya lima alasan lagi
Has he already waited six hours?	Apakah dia sudah menunggu enam jam?
I once saw seven bright stars	Aku pernah melihat tujuh bintang terang
Have you ever read nine books?	Apakah kamu pernah membaca sembilan buku?
I have already walked ten kilometers	Aku sudah berjalan sepuluh kilometer
This language is not the standard form	Bahasa ini bukan bentuk baku
Did that cloud shape change?	Apakah bentuk awan itu berubah?
Dark clouds are covering the sun	Awan gelap sedang menutup matahari
I have not bought a new dictionary	Aku belum membeli kamus baru
Is that word still often used?	Apakah kata itu masih sering dipakai?
Is that question still difficult for you?	Apakah soal itu masih sulit bagimu?
I am thinking about one question	Aku sedang memikirkan satu soal
Does he still look young?	Apakah dia masih terlihat muda?
That kitten looks very cute	Anak kucing itu terlihat sangat imut
I do not consider that funny	Aku tidak menganggap itu lucu
She once looked very beautiful	Dia pernah terlihat sangat cantik
Do you like eating nuts?	Apakah kamu suka makan kacang?
I haven't bought soy sauce today	Aku belum beli kecap hari ini
Have you already cut the onion?	Apakah kamu sudah memotong bawang?
I once rode a horse in the village	Aku pernah menunggang kuda di desa
I am running toward the bus stop	Aku sedang berlari menuju halte
I do not believe that deception	Aku tidak percaya tipuan itu
Do you believe my story yesterday?	Apakah kamu percaya ceritaku kemarin?
He is a scammer, I will not believe	Dia penipu, aku tidak akan percaya
I am exercising in the park	Aku sedang olahraga di taman
Have you already exercised this morning?	Apakah kamu sudah berolahraga pagi ini?
I have not practiced today	Aku belum berlatih hari ini
Will I get another opportunity?	Apakah aku akan mendapat kesempatan lagi?
These shoes have been used often	Sepatu ini sudah sering dipakai
Does exercise give many benefits?	Apakah olahraga memberi banyak manfaat?
I did not give an answer earlier	Aku tidak memberi jawaban tadi
This is not my favorite type of coffee	Ini bukan jenis kopi favoritku
Is this your favorite food?	Apakah ini makanan favoritmu?
My energy is almost drained today	Tenagaku sudah hampir terkuras hari ini
We ate then went straight home	Kami makan lalu langsung pulang
Has that needle already been sterilized?	Apakah jarum itu sudah disterilkan?
That tool was not sterilized earlier	Alat itu belum disterilkan tadi
I do not like that type of music	Jenis musik itu tidak aku suka
Do you already know yourself?	Apakah kamu sudah mengenal diri sendiri?
Are they openly discussing about blowjobs?	Mereka membicarakan seks oral secara terbuka?
He speaks honestly to me	Dia berbicara secara jujur kepadaku
Our personal data is protected by this system	Data pribadi kita dilindungi sistem ini
I do not know my new neighbor yet	Aku belum mengenal tetangga baruku
Is your new neighbor friendly?	Apakah tetangga barumu ramah?
I am listening to new music	Aku sedang mendengarkan musik baru
This soup is too salty for me	Sup ini terlalu asin bagiku
He is not stubborn anymore now	Dia tidak keras kepala lagi sekarang
Do not hit the table too hard	Jangan memukul meja terlalu keras
My head has hurt since yesterday	Kepalaku masih sakit sejak kemarin
I have not added salt to the soup yet	Aku belum menambahkan garam ke sup
I do not add sugar to coffee	Aku tidak menambahkan gula ke kopi
I will add a comment later	Aku akan menambahkan komentar nanti
Have you bought flour today?	Apakah kamu sudah membeli tepung hari ini?
I have not bought that concert ticket yet	Aku belum membeli tiket konser itu
That farmer is planting new seeds	Petani itu sedang menanam biji baru
We will plant a mango tree tomorrow	Kami akan menanam pohon mangga besok
I do not like mango juice	Aku tidak suka jus mangga
That old tree has not been cut down yet	Pohon tua itu belum ditebang
That farmer is checking his soil	Petani itu sedang memeriksa tanahnya
This soil is not suitable for rice	Tanah ini tidak cocok untuk padi
Is this color suitable for you?	Apakah warna ini cocok untukmu?
I am preparing spices for the soup	Aku sedang menyiapkan bumbu untuk sup
I cannot handle very spicy food	Aku tidak tahan makanan terlalu pedas
Who tampered with that package seal?	Siapa merusak segel paket itu?
This bottle’s seal has not been opened	Segel botol ini belum dibuka
I will massage your shoulder for a moment	Aku akan pijat bahumu sebentar
He is massaging my shoulder now	Dia sedang memijat bahuku sekarang
They are preparing a special event tonight	Mereka sedang menyiapkan acara khusus malam ini
That fake medicine can harm patients	Obat palsu itu bisa membahayakan pasien
That watch turned out to be fake	Jam itu ternyata palsu
Turns out he has not read my message yet	Ternyata dia belum membaca pesanku
Is that place full of danger?	Apakah tempat itu penuh bahaya?
This glass is already full now	Gelas ini sudah penuh sekarang
He refused the bribe from that official	Dia menolak suap dari pejabat itu
Cigarette smoke is very harmful for children	Asap rokok sangat berbahaya bagi anak
My father stopped smoking last year	Ayahku berhenti merokok tahun lalu
Mother is cooking in the kitchen	Ibu sedang memasak di dapur
He has not received clearance to enter	Dia belum mendapat izin masuk
Is this painting truly original?	Apakah lukisan ini benar-benar asli?
He is not used to foreign culture yet	Dia belum terbiasa dengan budaya asing
I am not used to waking very early	Aku belum terbiasa bangun sangat pagi
This is not the original signature	Ini bukan tanda tangan asli
Is that coin truly original?	Apakah koin itu benar-benar asli?
He finally found the original document	Dia akhirnya menemukan dokumen asli
That painting looks very authentic	Lukisan itu tampak sangat asli
Does that restaurant serve foreign food?	Apakah restoran itu menyajikan makanan asing?
He once worked at a foreign company	Dia pernah bekerja di perusahaan asing
Foreign culture sometimes feels strange to me	Budaya asing kadang terasa aneh bagiku
That house has appeared empty since yesterday	Rumah itu tampak kosong sejak kemarin
I sometimes forget to bring my key	Aku kadang lupa membawa kunci
Sometimes I do not understand his jokes	Kadang aku tidak memahami leluconnya
Do you sometimes miss your old home?	Apakah kamu kadang merindukan rumah lama?
I miss my old friend	Aku merindukan sahabat lamaku
He is telling a funny joke	Dia sedang menceritakan lelucon lucu
My close friend will come visit tomorrow	Sahabatku akan datang berkunjung besok
He bought a new suit yesterday	Dia membeli setelan baru kemarin
We will travel south tomorrow	Kami akan bepergian ke selatan besok
I rarely travel far alone	Aku jarang bepergian jauh sendirian
His artistry has already been recognized by many painters	Kepiawaian seninya sudah diakui banyak pelukis
I still do not have the expertise to cook rendang	Aku belum punya kepiawaian memasak rendang
I am currently buying fresh meat	Aku sedang membeli daging segar
She will study art at university	Dia akan belajar seni di kampus
Has your talent been recognized by your teacher?	Apakah bakatmu sudah diakui gurumu?
His talent has not been visible since childhood	Bakatnya belum terlihat sejak kecil
That new teacher is currently explaining the assignment	Guru baru itu sedang menjelaskan tugas
His comments often undermine my confidence	Komentarnya sering merongrong kepercayaan diriku
Why does your comment sound very rude?	Mengapa komentarmu terdengar sangat kasar?
His language is not rude when angry	Bahasanya tidak kasar saat marah
Will they burn the trash tonight?	Apakah mereka akan bakar sampah malam ini?
I have not thrown away the trash today	Aku belum membuang sampah hari ini
I am currently patching a small hole	Aku sedang menampal lubang kecil
Why does your picture appear so strange?	Mengapa gambarmu tampak begitu aneh?
I have never visited that continent	Benua itu tidak pernah aku kunjungi
Why did the sky appear black earlier?	Mengapa langit tampak hitam tadi?
That old house is still standing strong	Rumah tua itu masih kuat berdiri
Our team's strength is not enough	Kekuatan tim kami belum cukup
I will stand in front of the class	Aku akan berdiri di depan kelas
He is selling fruit at the market	Dia sedang menjual buah di pasar
He once started a secret affair	Dia pernah memulai selingkuhan rahasia
Is that galaxy very far?	Apakah galaksi itu sangat jauh?
I missed the last bus earlier	Aku tadi ketinggalan bus terakhir
That Miss has not arrived at the office yet	Nona itu belum tiba di kantor
Why did you miss that important detail?	Mengapa kamu melewatkan detail penting itu?
His shot almost missed the target	Tembakannya hampir meleset dari target
His shot did not hit the target	Tembakannya tidak mengenai target
That arrow will hit the target	Panah itu akan mengenai sasaran
Today's training target has not been achieved	Sasaran latihan hari ini belum tercapai
That arrow does not fly straight	Panah itu tidak terbang lurus
That bird will fly at dawn	Burung itu akan terbang saat fajar
Dawn has not appeared in the east	Fajar belum muncul di timur
We do not work on Tuesday	Kami tidak bekerja pada Selasa
I will return on Wednesday	Aku akan kembali pada Rabu
Do you work on Thursday?	Apakah kamu bekerja pada Kamis?
I have never worked on Friday	Aku belum pernah bekerja pada Jumat
We will depart on Saturday	Kami akan berangkat pada Sabtu
Why is that shop closed on Sunday?	Mengapa toko itu tutup pada Minggu?
Did you move house in January?	Apakah kamu pindah rumah pada Januari?
That festival will be held in February	Festival itu akan diadakan Februari
Why does that leaf stay green?	Mengapa daun itu tetap hijau?
The western sky appears red this evening	Langit barat tampak merah sore ini
The sun will set in the west	Matahari akan tenggelam di barat
Why did the sun set early today?	Mengapa matahari cepat tenggelam hari ini?
He suddenly stepped aside from me	Dia tiba-tiba melangkah menyamping dariku
I did not step backward yesterday	Aku tidak melangkah mundur kemarin
That big festival is held in March	Festival besar itu diadakan Maret
Does your exam start in April?	Apakah ujianmu dimulai April?
I will move to another city in May	Aku akan pindah kota pada Mei
That meeting is scheduled on Monday	Rapat itu dijadwalkan pada Senin
Does your holiday start in June?	Apakah liburanmu dimulai Juni?
We have not planned a vacation this year	Kami belum merencanakan liburan tahun ini
That music festival is held in July	Festival musik itu diadakan Juli
I have never visited Bali in August	Aku belum pernah mengunjungi Bali Agustus
Does the new semester start in September?	Apakah semester baru dimulai September?
He suddenly laughed when hearing the joke	Dia tiba-tiba tertawa saat mendengar lelucon
That film festival is held in October	Festival film itu diadakan Oktober
Will that project be finished in November?	Apakah proyek itu selesai November?
We usually take a long vacation in December	Kami biasanya liburan panjang Desember
I did not find my blue pen	Aku tidak menemukan pena biruku
Is that ship heading east?	Apakah kapal itu menuju timur?
We have never lived in the north	Kami tidak pernah tinggal di utara
That small village is located near the river	Desa kecil itu terletak dekat sungai
Why does this river look very muddy?	Mengapa sungai ini tampak sangat keruh?
Why does that wall look cracked?	Mengapa dinding itu terlihat retak?
That glass has been cracked since yesterday	Kaca itu sudah retak sejak kemarin
Did that window glass break?	Apakah kaca jendela itu pecah?
That balloon did not pop earlier	Balon itu tidak pecah tadi
Why did your face suddenly turn red?	Mengapa wajahmu tiba-tiba merah?
Is that paper truly white?	Apakah kertas itu benar-benar putih?
This paper is not thick enough	Kertas ini tidak cukup tebal
I will try a new recipe	Aku akan mencoba resep baru
I have never used this recipe	Resep ini belum pernah aku gunakan
Why are you not wearing shoes?	Mengapa kamu tidak pakai sepatu?
That light is not bright enough	Cahaya itu tidak cukup terang
That small lamp will illuminate the road	Lampu kecil itu akan menerangi jalan
I want ice in my drink	Aku ingin es dalam minuman
Why does the sea look blue today?	Mengapa laut tampak biru hari ini?
Why does that flower appear pink?	Mengapa bunga itu tampak merah muda?
That flower has not bloomed this morning	Bunga itu belum mekar pagi ini
I still do not understand that sentence	Aku belum paham kalimat itu
Do you have another example?	Apakah kamu punya contoh lain?
That news is broadcast through this channel	Berita itu disiarkan lewat saluran ini
I will follow your advice tomorrow	Aku akan mengikuti saranmu besok
I do not always follow his advice	Aku tidak selalu mengikuti nasihatnya
Why did you reject my advice earlier?	Mengapa kamu menolak nasihatku tadi?
That message was sent through email earlier	Pesan itu dikirim lewat email tadi
That conversation was not finished earlier	Obrolan itu belum selesai tadi
Did you read that thread?	Apakah kamu membaca utas itu?
That message has not been read by anyone yet	Pesan itu belum dibaca siapa pun
That conversation will continue later	Obrolan itu akan berlanjut nanti
That discussion did not continue long	Diskusi itu tidak berlanjut lama
This is not my last chance	Ini bukan kesempatan terakhirku
That application will be updated tomorrow	Aplikasi itu akan diperbarui besok
I have not received a call from you yet	Aku belum menerima panggilan darimu
He is not a member of that club	Dia bukan anggota klub itu
Will you join our team?	Apakah kamu akan bergabung tim kami?
Is this word a verb?	Apakah kata ini termasuk verba?
Does that cost include tax?	Apakah biaya itu termasuk pajak?
I am studying new grammar	Aku sedang mempelajari tata bahasa baru
The office layout is neat	Tata ruang kantor itu rapi
My desk is always neat every morning	Mejaku selalu rapi setiap pagi
That video was not shared yesterday	Video itu belum dibagikan kemarin
I am looking for my motorcycle key	Aku sedang cari kunci motorku
Will you find the answer?	Apakah kamu akan temu jawabannya?
I have not found my wallet earlier	Aku belum temukan dompetku tadi
That group is no longer active	Grup itu tidak aktif lagi
That image will be printed tomorrow	Gambar itu akan dicetak besok
I have not sent that message yet	Pesan itu belum aku kirim
That photo was not printed yesterday	Foto itu tidak dicetak kemarin
I have not seen the result yet	Aku belum lihat hasilnya
Are there other options now?	Apakah ada pilihan lainnya sekarang?
I have not chosen that course	Aku belum memilih kursus itu
That choice is not easy for me	Pilihan itu tidak mudah bagiku
That process will be optimized soon	Proses itu akan dioptimalkan segera
I will contact you soon	Aku akan segera menghubungimu
I have not contacted that client yet	Aku belum menghubungi klien itu
Welcome to our house	Selamat datang di rumah kami
I bought coffee and bread	Aku membeli kopi dan roti
All members will attend tomorrow	Semua anggota akan hadir besok
Is that rule always followed?	Apakah aturan itu selalu diikuti?
That term is no longer used	Sebutan itu tidak dipakai lagi
I will buy those shoes tomorrow	Sepatu itu akan kubeli besok
That password must not be shared	Sandi itu tidak boleh dibagikan
Mark that important message now	Tandai pesan penting itu sekarang
He has already completed a big project	Dia telah menyelesaikan proyek besar
He works as a translator now	Dia bekerja sebagai penerjemah sekarang
I am not a professional translator	Aku bukan penerjemah profesional
Adjust your schedule before the meeting	Sesuaikan jadwalmu sebelum rapat
The application's appearance has already changed	Tampilan aplikasi itu sudah berubah
The weather suddenly changed earlier	Cuaca tiba-tiba berubah tadi
That balloon suddenly shrank earlier	Balon itu tiba-tiba ciut tadi
I sometimes forget the house key	Aku kadang-kadang lupa kunci rumah
Do not touch that button now	Jangan sentuh tombol itu sekarang
I am not worried about that exam	Aku tidak khawatir tentang ujian itu
Has that button already been pressed?	Apakah tombol itu sudah ditekan?
Press the red button now	Tekan tombol merah sekarang
I have been colorblind since childhood	Aku buta warna sejak kecil
His child was born this morning	Anaknya lahir tadi pagi
Does this soup use coriander?	Apakah sup ini pakai ketumbar?
