order,note_id,status,front_text,tokens,new_tokens
48,1772717797287,KEEP,Apakah dia belum datang hari ini?,apakah | belum | datang | dia | hari | ini,datang
49,1772717822107,KEEP,Kemarin aku bertemu teman lamaku,aku | bertemu | kemarin | lamaku | teman,bertemu | lamaku
50,1772717827143,KEEP,Besok kami akan berangkat lebih awal,akan | awal | berangkat | besok | kami | lebih,awal | lebih
51,1772717859369,KEEP,Apakah rapat dimulai lebih awal?,apakah | awal | dimulai | lebih | rapat,dimulai
52,1772717885679,KEEP,Pertandingan akan dimulai sebentar lagi,akan | dimulai | lagi | pertandingan | sebentar,pertandingan | sebentar
53,1772717890744,KEEP,Kami mulai belajar setelah makan,belajar | kami | makan | mulai | setelah,mulai | setelah
54,1772717896803,KEEP,"Tunggu sebentar, aku sedang menelepon",aku | menelepon | sebentar | sedang | tunggu,menelepon | tunggu
55,1772717909313,KEEP,Dia akan menelepon ibunya nanti,akan | dia | ibunya | menelepon | nanti,ibunya
56,1772717922876,KEEP,Ibuku belum menelepon sejak kemarin,belum | ibuku | kemarin | menelepon | sejak,ibuku
57,1772788603969,KEEP,Apakah kamu pengguna aplikasi ini?,apakah | aplikasi | ini | kamu | pengguna,aplikasi | pengguna
58,1772788616271,KEEP,Ayah sedang membaca koran pagi ini,ayah | ini | koran | membaca | pagi | sedang,ayah | koran | membaca
59,1772788788860,KEEP,Apakah kamu pernah melihat salju?,apakah | kamu | melihat | pernah | salju,melihat | pernah | salju
60,1772788801957,KEEP,Saya pernah melihat paus di laut,di | laut | melihat | paus | pernah | saya,paus
61,1772788918779,KEEP,Kami belum pernah melihat paus liar,belum | kami | liar | melihat | paus | pernah,liar
62,1772789066566,KEEP,Anjing itu tidak liar sekarang,anjing | itu | liar | sekarang | tidak,anjing
63,1772789146750,KEEP,Apakah anjingmu akan menunggu di rumah?,akan | anjingmu | apakah | di | menunggu | rumah,anjingmu
64,1772789150054,KEEP,Dia sedang menunggu bus di halte,bus | di | dia | halte | menunggu | sedang,halte
65,1772789175338,KEEP,Mengapa mobil itu tiba-tiba berhenti?,berhenti | itu | mengapa | mobil | tiba-tiba,mobil | tiba-tiba
66,1772789188332,KEEP,Lampu tiba-tiba padam saat makan malam,lampu | makan | malam | padam | saat | tiba-tiba,lampu | padam | saat
67,1772789194878,KEEP,Kami akan tiba sebelum matahari terbit,akan | kami | matahari | sebelum | terbit | tiba,matahari | terbit
68,1772789271157,KEEP,Selesaikan laporan ini sebelum rapat dimulai,dimulai | ini | laporan | rapat | sebelum | selesaikan,laporan | selesaikan
69,1772789312950,KEEP,Apakah pekerjaanmu sudah selesai hari ini?,apakah | hari | ini | pekerjaanmu | selesai | sudah,pekerjaanmu | selesai
70,1772789326575,KEEP,Dia belum mengirim laporan bulanan,belum | bulanan | dia | laporan | mengirim,bulanan | mengirim
71,1772789334338,KEEP,Pekerjaan ini akan selesai besok,akan | besok | ini | pekerjaan | selesai,pekerjaan
72,1772789390350,KEEP,Saya tidak akan mengirim pesan lagi,akan | lagi | mengirim | pesan | saya | tidak,pesan
73,1772789400346,KEEP,Apakah kamu sudah menerima paket itu?,apakah | itu | kamu | menerima | paket | sudah,menerima | paket
74,1772789458986,KEEP,Paket itu belum tiba di kantor,belum | di | itu | kantor | paket | tiba,kantor
75,1772789542631,KEEP,Kami pernah melihat orca di laut,di | kami | laut | melihat | orca | pernah,orca
76,1772789552620,KEEP,Apakah laut akan tenang malam ini?,akan | apakah | ini | laut | malam | tenang,tenang
77,1772789564174,KEEP,Anak itu tidak tenang saat ujian,anak | itu | saat | tenang | tidak | ujian,anak | ujian
78,1772789580923,KEEP,Ujian akhir akan dimulai besok,akan | akhir | besok | dimulai | ujian,akhir
79,1772789593461,KEEP,Mengapa kamu memulai pekerjaan terlalu pagi?,kamu | memulai | mengapa | pagi | pekerjaan | terlalu,memulai | terlalu
80,1772789602309,KEEP,Kopi ini terlalu panas untuk diminum,diminum | ini | kopi | panas | terlalu | untuk,diminum | panas | untuk
81,1772789615151,KEEP,Air itu tidak boleh diminum sekarang,air | boleh | diminum | itu | sekarang | tidak,air | boleh
82,1772789620306,KEEP,Dia jarang meminum kopi malam hari,dia | hari | jarang | kopi | malam | meminum,jarang | meminum
83,1772789637749,KEEP,Saya jarang menonton televisi sekarang,jarang | menonton | saya | sekarang | televisi,menonton | televisi
84,1772912076523,KEEP,Dia sering bercerita tentang masa kecilnya,bercerita | dia | kecilnya | masa | sering | tentang,bercerita | kecilnya | masa | sering
85,1772912109816,KEEP,Kami sedang bercerita tentang perjalanan lama,bercerita | kami | lama | perjalanan | sedang | tentang,lama | perjalanan
86,1772912130290,KEEP,Apakah masa sulit itu sudah berakhir?,apakah | berakhir | itu | masa | sudah | sulit,berakhir | sulit
87,1772912142049,KEEP,Aku belum melupakan masa kecil,aku | belum | kecil | masa | melupakan,kecil | melupakan
88,1772912156223,KEEP,Dia tidak akan melupakan janji itu,akan | dia | itu | janji | melupakan | tidak,janji
89,1772912193429,KEEP,Apakah dia pernah melanggar janji?,apakah | dia | janji | melanggar | pernah,melanggar
90,1772912366339,KEEP,Aku tidak berjanji datang besok,aku | berjanji | besok | datang | tidak,berjanji
91,1772912384950,KEEP,Dia sudah melanggar aturan sekolah,aturan | dia | melanggar | sekolah | sudah,aturan
92,1772912447586,KEEP,Anak itu akan belajar sendiri,akan | anak | belajar | itu | sendiri,sendiri
93,1772912561494,KEEP,Hari ini aku belum menerima kabar,aku | belum | hari | ini | kabar | menerima,kabar
94,1772912573576,KEEP,Apakah kamu akan menerima tawaran itu?,akan | apakah | itu | kamu | menerima | tawaran,tawaran
95,1772912607981,KEEP,Kabar itu tidak terdengar benar,benar | itu | kabar | terdengar | tidak,benar | terdengar
96,1772912637184,KEEP,Dia sedang mempertimbangkan tawaran baru,baru | dia | mempertimbangkan | sedang | tawaran,baru | mempertimbangkan
97,1772912665970,KEEP,Apakah suaraku terdengar jelas di sana?,apakah | di | jelas | sana | suaraku | terdengar,jelas | suaraku
98,1772912677863,KEEP,Kami akan mempertimbangkan semua kemungkinan,akan | kami | kemungkinan | mempertimbangkan | semua,kemungkinan | semua
99,1772912812851,KEEP,Apakah kemungkinan itu pernah dipikirkan sebelumnya?,apakah | dipikirkan | itu | kemungkinan | pernah | sebelumnya,dipikirkan | sebelumnya
100,1772912842283,KEEP,Masalah itu belum dipikirkan serius,belum | dipikirkan | itu | masalah | serius,serius
101,1772912909447,KEEP,Kami tidak bisa membeli semua barang,barang | bisa | kami | membeli | semua | tidak,barang | bisa | membeli
102,1772912917124,KEEP,Suara itu belum pernah saya dengar,belum | dengar | itu | pernah | saya | suara,dengar | suara
103,1772913009015,KEEP,Kenapa pantatmu sakit hari ini?,hari | ini | kenapa | pantatmu | sakit,pantatmu | sakit
104,1772913045050,KEEP,Apakah penis itu terasa sakit?,apakah | itu | penis | sakit | terasa,penis
105,1772913068408,KEEP,Dokter memeriksa kesehatan vagina pasien,dokter | kesehatan | memeriksa | pasien | vagina,dokter | kesehatan | memeriksa | pasien | vagina
106,1772913099031,KEEP,Dokter sedang memeriksa hasil tes,dokter | hasil | memeriksa | sedang | tes,hasil | tes
107,1772913116432,KEEP,Kami sedang menjaga kesehatan keluarga,kami | keluarga | kesehatan | menjaga | sedang,keluarga | menjaga
108,1772913139889,KEEP,Dia tidak menjaga rahasia itu,dia | itu | menjaga | rahasia | tidak,rahasia
109,1772932132455,KEEP,Saya sudah menerima kabar baik,baik | kabar | menerima | saya | sudah,baik
110,1772932142427,KEEP,Apakah kamu akan terima tawaran itu?,akan | apakah | itu | kamu | tawaran | terima,terima
111,1772932229985,KEEP,Dia sedang mengirim pesan penting,dia | mengirim | penting | pesan | sedang,penting
112,1772932263249,KEEP,Apakah gunung berapi itu masih aktif?,aktif | apakah | berapi | gunung | itu | masih,aktif | berapi | gunung
113,1772932275362,KEEP,Matanya berapi saat mendengar kabar itu,berapi | itu | kabar | matanya | mendengar | saat,matanya | mendengar
114,1772932284478,KEEP,Mengapa mata kamu terlihat sangat lelah?,kamu | lelah | mata | mengapa | sangat | terlihat,lelah | mata
115,1772932398739,KEEP,Mengapa hidungmu terasa sangat dingin?,dingin | hidungmu | mengapa | sangat | terasa,dingin | hidungmu
116,1772932410970,KEEP,Udara pagi ini terasa sangat dingin,dingin | ini | pagi | sangat | terasa | udara,udara
117,1772932431222,KEEP,Aku belum minum susu hari ini,aku | belum | hari | ini | minum | susu,susu
118,1772932452149,KEEP,Mengapa ruangan ini terasa sangat sempit?,ini | mengapa | ruangan | sangat | sempit | terasa,ruangan | sempit
119,1772932464772,KEEP,Aku merasa lebih tenang sekarang,aku | lebih | merasa | sekarang | tenang,merasa
120,1772932471181,KEEP,Jalan ini terlalu sempit untuk mobil,ini | jalan | mobil | sempit | terlalu | untuk,jalan
121,1772932481046,KEEP,Ruangan ini belum dibersihkan hari ini,belum | dibersihkan | hari | ini | ruangan,dibersihkan
122,1772932495232,KEEP,Aku akan membersihkan dapur nanti,akan | aku | dapur | membersihkan | nanti,dapur | membersihkan
123,1772932526676,KEEP,Dapur itu tidak terlihat bersih,bersih | dapur | itu | terlihat | tidak,bersih
124,1772932534247,KEEP,Lantai ini belum dibersihkan sejak pagi,belum | dibersihkan | ini | lantai | pagi | sejak,lantai
125,1772932545455,KEEP,Mengapa lantai ini terasa licin?,ini | lantai | licin | mengapa | terasa,licin
126,1772932554251,KEEP,Jalan itu menjadi licin setelah hujan,hujan | itu | jalan | licin | menjadi | setelah,menjadi
127,1772932572131,KEEP,Aku akan meneleponmu setelah makan,akan | aku | makan | meneleponmu | setelah,meneleponmu
128,1772932603537,KEEP,Tas itu terlalu besar untukku,besar | itu | tas | terlalu | untukku,tas | untukku
129,1772932610189,KEEP,Apakah kamar ini terlalu kecil?,apakah | ini | kamar | kecil | terlalu,kamar
130,1772932622362,KEEP,Aku belum merapikan kamar hari ini,aku | belum | hari | ini | kamar | merapikan,merapikan
131,1772932637119,KEEP,Gunung Merapi sedang sangat aktif,aktif | gunung | merapi | sangat | sedang,merapi
132,1772932674637,KEEP,Aku sedang merapikan meja kerja,aku | kerja | meja | merapikan | sedang,meja
133,1772932681602,KEEP,Meja itu belum dirapikan sejak pagi,belum | dirapikan | itu | meja | pagi | sejak,dirapikan
134,1772932696379,KEEP,Apakah meja ini terlalu berat?,apakah | berat | ini | meja | terlalu,berat
135,1772932720429,KEEP,Mengapa badanmu terasa sangat lelah?,badanmu | lelah | mengapa | sangat | terasa,badanmu
136,1772932728123,KEEP,Barang ini bukan milik aku,aku | barang | bukan | ini | milik,bukan | milik
137,1772984974459,KEEP,Aku tidak memiliki cukup waktu,aku | cukup | memiliki | tidak | waktu,memiliki
138,1772984997002,KEEP,Apakah uang ini cukup untuk makan?,apakah | cukup | ini | makan | uang | untuk,uang
139,1772985045209,KEEP,Apakah kamu pernah melihat beruang?,apakah | beruang | kamu | melihat | pernah,beruang
140,1772985084065,KEEP,Aku hampir terlambat ke kantor,aku | hampir | kantor | ke | terlambat,hampir | terlambat
141,1772985115313,KEEP,Susu di kulkas sudah habis,di | habis | kulkas | sudah | susu,habis | kulkas
142,1772985141675,KEEP,Aku akan menggunakan oven nanti,akan | aku | menggunakan | nanti | oven,menggunakan | oven
143,1772985149754,KEEP,Apakah kompor itu masih panas?,apakah | itu | kompor | masih | panas,kompor
144,1772985214421,KEEP,Dia sedang menunggu di luar,di | dia | luar | menunggu | sedang,luar
145,1772985239097,KEEP,Udara di luar terasa sangat segar,di | luar | sangat | segar | terasa | udara,segar
146,1772985252409,KEEP,Minuman ini tidak terasa segar,ini | minuman | segar | terasa | tidak,minuman
147,1772985303303,KEEP,Obat ini harus diminum sebelum makan,diminum | harus | ini | makan | obat | sebelum,harus | obat
148,1772985358785,KEEP,Makanan ini terasa terlalu asin,asin | ini | makanan | terasa | terlalu,asin | makanan
149,1772985369368,KEEP,Kue itu sudah dimakan adikku,adikku | dimakan | itu | kue | sudah,adikku | dimakan | kue
150,1772985384580,KEEP,Adikku belum pulang dari sekolah,adikku | belum | dari | pulang | sekolah,dari
151,1772985395691,KEEP,Apakah saudaramu tinggal di sini?,apakah | di | saudaramu | sini | tinggal,saudaramu
152,1772985536859,KEEP,Akhirnya aku menemukan kunci itu,akhirnya | aku | itu | kunci | menemukan,kunci
153,1772985550220,KEEP,Aku tidak menemukan dompetku tadi,aku | dompetku | menemukan | tadi | tidak,dompetku
154,1772985554879,KEEP,Apakah kamu melihat kunci mobilku?,apakah | kamu | kunci | melihat | mobilku,mobilku
155,1772985569166,KEEP,Dompet itu hampir jatuh tadi,dompet | hampir | itu | jatuh | tadi,dompet | jatuh
156,1772985587178,KEEP,Aku pernah jatuh dari sepeda,aku | dari | jatuh | pernah | sepeda,sepeda
157,1772985598491,KEEP,Sepeda itu belum diperbaiki sejak kemarin,belum | diperbaiki | itu | kemarin | sejak | sepeda,diperbaiki
158,1772985664760,KEEP,Aku akan memperbaiki sepeda itu besok,akan | aku | besok | itu | memperbaiki | sepeda,memperbaiki
159,1772985670052,KEEP,Pintu ini belum diperbaiki oleh tukang,belum | diperbaiki | ini | oleh | pintu | tukang,oleh | pintu | tukang
160,1772985703419,KEEP,Tukang itu sedang memperbaiki atap,atap | itu | memperbaiki | sedang | tukang,atap
161,1772985724384,KEEP,Apakah atap rumahmu pernah bocor?,apakah | atap | bocor | pernah | rumahmu,bocor | rumahmu
162,1772985741751,KEEP,Pipa itu mulai bocor tadi pagi,bocor | itu | mulai | pagi | pipa | tadi,pipa
163,1772985748596,KEEP,Mengapa pintu itu tidak tertutup rapat?,itu | mengapa | pintu | rapat | tertutup | tidak,tertutup
164,1772985760533,KEEP,Jalan utama tertutup karena banjir,banjir | jalan | karena | tertutup | utama,banjir | karena | utama
165,1772985767275,KEEP,Tolong tutup jendela sebelum tidur,jendela | sebelum | tidur | tolong | tutup,jendela | tidur | tolong | tutup
166,1772985785054,KEEP,Tolong jangan sentuh barang itu,barang | itu | jangan | sentuh | tolong,jangan | sentuh
167,1772985792380,KEEP,Ini bukan alasan utama aku pergi,aku | alasan | bukan | ini | pergi | utama,alasan
168,1772985797378,KEEP,Apakah daerah ini sering terkena banjir?,apakah | banjir | daerah | ini | sering | terkena,daerah | terkena
169,1772985821391,KEEP,Rumah kami terkena banjir semalam,banjir | kami | rumah | semalam | terkena,semalam
170,1772985840771,KEEP,Restoran itu sudah terkenal di kota,di | itu | kota | restoran | sudah | terkenal,restoran | terkenal
171,1772985859297,KEEP,Mengapa pasar itu sangat ramai?,itu | mengapa | pasar | ramai | sangat,pasar | ramai
172,1772985867601,KEEP,Mereka memutuskan untuk cerai tahun lalu,cerai | lalu | memutuskan | mereka | tahun | untuk,cerai | lalu | memutuskan
173,1772985875666,KEEP,Langit pagi ini terlihat sangat cerah,cerah | ini | langit | pagi | sangat | terlihat,cerah | langit
174,1772985888865,KEEP,Apakah dia sudah bertemu istrinya?,apakah | bertemu | dia | istrinya | sudah,istrinya
175,1772985893581,KEEP,Aku tidak tahu artinya kata itu,aku | artinya | itu | kata | tahu | tidak,artinya | kata
176,1772985914514,KEEP,Aku belum mengerti arti kalimat itu,aku | arti | belum | itu | kalimat | mengerti,arti | kalimat | mengerti
177,1772985937299,KEEP,Aku akan cari alamat itu nanti,akan | aku | alamat | cari | itu | nanti,alamat | cari
178,1772985951799,KEEP,"Jika hujan turun, aku tetap pergi",aku | hujan | jika | pergi | tetap | turun,jika | tetap
179,1772985957495,KEEP,Aku belum menemukan alamat rumahnya,aku | alamat | belum | menemukan | rumahnya,rumahnya
180,1772985969063,KEEP,Kamu ingin teh atau kopi?,atau | ingin | kamu | kopi | teh,atau
181,1772985986714,KEEP,Harga tas itu hampir seribu ribu,hampir | harga | itu | ribu | seribu | tas,harga | ribu | seribu
182,1772986003099,KEEP,Aku membayar seribu rupiah saja,aku | membayar | rupiah | saja | seribu,membayar | rupiah | saja
183,1772986024227,KEEP,Aku belum membayar tagihan listrik,aku | belum | listrik | membayar | tagihan,listrik | tagihan
184,1772986042216,KEEP,Harga itu terlalu mahal untukku,harga | itu | mahal | terlalu | untukku,mahal
185,1772986047592,KEEP,Tagihan ini harus dibayar hari ini,dibayar | hari | harus | ini | tagihan,dibayar
186,1772986054938,KEEP,Mengapa listrik di rumah mati?,di | listrik | mati | mengapa | rumah,mati
187,1772986069118,KEEP,Film itu belum ditonton oleh aku,aku | belum | ditonton | film | itu | oleh,ditonton | film
188,1772986078858,KEEP,Buku yang aku cari belum ada,ada | aku | belum | buku | cari | yang,buku
189,1772986089900,KEEP,Rumahku dekat dengan stasiun,dekat | dengan | rumahku | stasiun,dekat | dengan | rumahku | stasiun
190,1772986106594,KEEP,Aku berbicara dengan dia tadi,aku | berbicara | dengan | dia | tadi,berbicara
191,1772986111913,KEEP,Stasiun itu tidak terlalu jauh,itu | jauh | stasiun | terlalu | tidak,jauh
192,1772986129628,KEEP,Tas ini terlalu berat untuk dibawa,berat | dibawa | ini | tas | terlalu | untuk,dibawa
193,1772986159252,KEEP,"Dia mengetuk pintu, lalu masuk",dia | lalu | masuk | mengetuk | pintu,masuk | mengetuk
194,1772986172011,KEEP,Siapa yang mengetuk pintu tadi?,mengetuk | pintu | siapa | tadi | yang,siapa
195,1772986209426,KEEP,Anakku sangat tertarik pada sains,anakku | pada | sains | sangat | tertarik,anakku | pada | sains | tertarik
196,1772986228236,KEEP,"Selain kopi, aku juga minum teh",aku | juga | kopi | minum | selain | teh,juga | selain
197,1772986243769,KEEP,Teori evolusi masih dipelajari para ilmuwan,dipelajari | evolusi | ilmuwan | masih | para | teori,dipelajari | evolusi | ilmuwan | para | teori
198,1772986255792,KEEP,Bahasa ini sedang dipelajari banyak orang,bahasa | banyak | dipelajari | ini | orang | sedang,banyak | orang
199,1772986319548,KEEP,Adakah seseorang pernah tinggal di sini?,adakah | di | pernah | seseorang | sini | tinggal,adakah | seseorang
200,1772986330988,KEEP,Adakah jalan lain menuju pasar?,adakah | jalan | lain | menuju | pasar,lain | menuju
201,1772986336665,KEEP,Adakah dia sudah membaca pesanmu?,adakah | dia | membaca | pesanmu | sudah,pesanmu
202,1772986347106,KEEP,Adakah alasan kamu menolak tawaran itu?,adakah | alasan | itu | kamu | menolak | tawaran,menolak
203,1772986369785,KEEP,Aku tidak akan menolak bantuanmu,akan | aku | bantuanmu | menolak | tidak,bantuanmu
204,1772986374795,KEEP,Kami sedang berjalan menuju stasiun,berjalan | kami | menuju | sedang | stasiun,berjalan
205,1772986407655,KEEP,Aku ingin meningkatkan kemampuan bahasaku,aku | bahasaku | ingin | kemampuan | meningkatkan,bahasaku | kemampuan | meningkatkan
206,1772986422782,KEEP,Kemampuan memasaknya semakin baik sekarang,baik | kemampuan | memasaknya | sekarang | semakin,memasaknya | semakin
207,1772986480133,KEEP,Aku ingin hidup lebih sehat mulai sekarang,aku | hidup | ingin | lebih | mulai | sehat | sekarang,hidup | sehat
208,1773041244828,KEEP,Pemandangan gunung itu benar-benar luar biasa,benar-benar | biasa | gunung | itu | luar | pemandangan,biasa | pemandangan
209,1773041250411,KEEP,Pemandangan laut itu sangat menakjubkan,itu | laut | menakjubkan | pemandangan | sangat,menakjubkan
210,1773041271324,KEEP,Pemandangan dari bukit itu sangat indah,bukit | dari | indah | itu | pemandangan | sangat,bukit | indah
211,1773041282925,KEEP,Apakah pantai ini masih indah sekarang?,apakah | indah | ini | masih | pantai | sekarang,pantai
212,1773041305116,KEEP,Besok aku akan mendaki gunung ini,akan | aku | besok | gunung | ini | mendaki,mendaki
213,1773041317913,KEEP,Apakah teori itu pernah diuji ilmuwan?,apakah | diuji | ilmuwan | itu | pernah | teori,diuji
214,1773041336629,KEEP,Teori ini belum diuji secara ilmiah,belum | diuji | ilmiah | ini | secara | teori,ilmiah | secara
215,1773041350324,KEEP,Apakah ilmuwan akan menguji teori baru?,akan | apakah | baru | ilmuwan | menguji | teori,menguji
216,1773041360651,KEEP,Aku lahir di kota kecil,aku | di | kecil | kota | lahir,lahir
217,1773041373507,KEEP,Aku belum tahu lahirnya bayi itu,aku | bayi | belum | itu | lahirnya | tahu,bayi | lahirnya
218,1773041401777,KEEP,Aku tidak lolos seleksi kemarin,aku | kemarin | lolos | seleksi | tidak,lolos | seleksi
219,1773041434688,KEEP,Aku belum lulus ujian itu,aku | belum | itu | lulus | ujian,lulus
220,1773041505722,KEEP,Aku ingin hidup dekat dengan alam,aku | alam | dekat | dengan | hidup | ingin,alam
221,1773041540643,KEEP,Apakah bayi itu sudah tidur nyenyak?,apakah | bayi | itu | nyenyak | sudah | tidur,nyenyak
222,1773041567929,KEEP,Apakah ini tujuan utama perjalananmu?,apakah | ini | perjalananmu | tujuan | utama,perjalananmu | tujuan
223,1773041578824,KEEP,Aku akan mencapai tujuan itu suatu hari,akan | aku | hari | itu | mencapai | suatu | tujuan,mencapai | suatu
224,1773041591222,KEEP,Kami akhirnya mencapai puncak gunung,akhirnya | gunung | kami | mencapai | puncak,puncak
225,1773041638402,KEEP,Dia tidak pernah membicarakan agama di kantor,agama | di | dia | kantor | membicarakan | pernah | tidak,agama | membicarakan
226,1773041651506,KEEP,Mengapa mereka membicarakan masalahku tadi?,masalahku | membicarakan | mengapa | mereka | tadi,masalahku
227,1773041658983,KEEP,Aku belum bilang apa pun padanya,aku | apa | belum | bilang | padanya | pun,apa | bilang | padanya | pun
228,1773041719723,KEEP,Apakah seseorang sedang mencariku di luar?,apakah | di | luar | mencariku | sedang | seseorang,mencariku
229,1773041727259,KEEP,Aku sedang mencari sesuatu di tas,aku | di | mencari | sedang | sesuatu | tas,mencari | sesuatu
230,1773041761503,KEEP,Kamu boleh memilih apa saja nanti,apa | boleh | kamu | memilih | nanti | saja,memilih
