Front	Back
Ruangan ini belum dibersihkan hari ini	This room has not been cleaned today
Aku akan membersihkan dapur nanti	I will clean the kitchen later
Apakah kita bisa bicara nanti?	Can we talk later?
Dapur itu tidak terlihat bersih	That kitchen does not look clean
Lantai ini belum dibersihkan sejak pagi	This floor has not been cleaned since morning
Mengapa lantai ini terasa licin?	Why does this floor feel slippery?
Jalan itu menjadi licin setelah hujan	That road became slippery after the rain
Aku akan meneleponmu setelah makan	I will call you after eating
Masalah kecil bisa menjadi besar	A small problem can become big
Tas itu terlalu besar untukku	That bag is too big for me
Apakah kamar ini terlalu kecil?	Is this room too small?
Aku belum merapikan kamar hari ini	I have not tidied the room today
Gunung Merapi sedang sangat aktif	Mount Merapi is currently very active
Aku sedang merapikan meja kerja	I am tidying the work desk
Meja itu belum dirapikan sejak pagi	That table has not been tidied since morning
Apakah meja ini terlalu berat?	Is this table too heavy?
Tas ini tidak terlalu berat	This bag is not too heavy
Mengapa badanmu terasa sangat lelah?	Why does your body feel very tired?
Barang ini bukan milik aku	This item is not mine
Apakah mobil itu milik kamu?	Does that car belong to you?
Aku tidak memiliki cukup waktu	I do not have enough time
Apakah uang ini cukup untuk makan?	Is this money enough to eat?
Apakah kamu pernah melihat beruang?	Have you ever seen a bear?
Aku belum menerima uang itu	I have not received that money yet
Aku hampir terlambat ke kantor	I almost arrived late to the office
Mengapa kamu terlambat hari ini?	Why are you late today?
Susu di kulkas sudah habis	The milk in the fridge is already finished
Mengapa kulkas itu tidak dingin?	Why is that refrigerator not cold?
Aku akan menggunakan oven nanti	I will use the oven later
Apakah kompor itu masih panas?	Is that stove still hot?
Apakah dia memiliki rencana baru?	Does he have a new plan?
Aku belum punya rencana untuk besok	I do not have a plan for tomorrow yet
Dia sedang menunggu di luar	He or she is waiting outside
Udara di luar terasa sangat segar	The air outside feels very fresh
Minuman ini tidak terasa segar	This drink does not taste fresh
Obat ini harus diminum sebelum makan	This medicine must be taken before eating
Aku belum minum obat hari ini	I have not taken medicine today
Makanan ini terasa terlalu asin	This food tastes too salty
Kue itu sudah dimakan adikku	That cake has been eaten by my younger sibling
Adikku belum pulang dari sekolah	My younger sibling has not returned from school
Apakah saudaramu tinggal di sini?	Does your sibling live here?
Aku ingin pergi, namun hujan turun	I want to go, however it is raining
Akhirnya aku menemukan kunci itu	Finally I found that key
Aku tidak menemukan dompetku tadi	I did not find my wallet earlier
Apakah kamu melihat kunci mobilku?	Did you see my car key?
Dompet itu hampir jatuh tadi	That wallet almost fell earlier
Aku pernah jatuh dari sepeda	I once fell from a bicycle
Sepeda itu belum diperbaiki sejak kemarin	That bicycle has not been repaired since yesterday
Aku akan memperbaiki sepeda itu besok	I will repair that bicycle tomorrow
Pintu ini belum diperbaiki oleh tukang	This door has not been repaired by the worker
Tukang itu sedang memperbaiki atap	That craftsman is repairing the roof
Apakah atap rumahmu pernah bocor?	Has your house roof ever leaked?
Pipa itu mulai bocor tadi pagi	That pipe started leaking earlier this morning
Mengapa pintu itu tidak tertutup rapat?	Why is that door not tightly closed?
Jalan utama tertutup karena banjir	The main road is closed because of flooding
Tolong tutup jendela sebelum tidur	Please close the window before sleeping
Tolong jangan sentuh barang itu	Please do not touch that item
Ini bukan alasan utama aku pergi	This is not the main reason I left
Apakah daerah ini sering terkena banjir?	Does this area often get floods?
Rumah kami terkena banjir semalam	Our house was affected by flooding last night
Semalam aku hampir tidak tidur	Last night I almost did not sleep
Restoran itu sudah terkenal di kota	That restaurant is already famous in the city
Mengapa pasar itu sangat ramai?	Why is that market very crowded?
Mereka memutuskan untuk cerai tahun lalu	They decided to divorce last year
Langit pagi ini terlihat sangat cerah	The sky this morning looks very bright
Apakah dia sudah bertemu istrinya?	Has he already met his wife?
Aku tidak tahu artinya kata itu	I do not know the meaning of that word
Apakah kamu tahu jawabannya?	Do you know the answer?
Aku belum mengerti arti kalimat itu	I do not yet understand the meaning of that sentence
Kalimat itu terdengar sangat aneh	That sentence sounds very strange
Aku akan cari alamat itu nanti	I will search for that address later
Jika hujan turun, aku tetap pergi	If it rains, I will still go
Aku belum menemukan alamat rumahnya	I have not found his house address yet
Kamu ingin teh atau kopi?	Do you want tea or coffee?
Harga tas itu hampir seribu ribu	The price of that bag is almost one million
Aku membayar seribu rupiah saja	I paid only one thousand rupiah
Aku belum membayar tagihan listrik	I have not paid the electricity bill
Harga itu terlalu mahal untukku	That price is too expensive for me
Tagihan ini harus dibayar hari ini	This bill must be paid today
Mengapa listrik di rumah mati?	Why is the electricity in the house out?
Film itu belum ditonton oleh aku	That movie has not been watched by me
Buku yang aku cari belum ada	The book that I am looking for is not here yet
Rumahku dekat dengan stasiun	My house is near the station
Aku berbicara dengan dia tadi	I spoke with him earlier
Stasiun itu tidak terlalu jauh	That station is not too far
Tas ini terlalu berat untuk dibawa	This bag is too heavy to carry
Mobil itu berhenti di depan rumah	That car stopped in front of the house
Aku akan pindah rumah tahun depan	I will move house next year
Dia mengetuk pintu, lalu masuk	He knocked on the door, then entered
Siapa yang mengetuk pintu tadi?	Who knocked on the door earlier?
Aku tidak masuk kantor hari ini	I did not enter the office today
Anakku sangat tertarik pada sains	My child is very interested in science
Aku jarang menggunakan aplikasi itu	I rarely use that application
Selain kopi, aku juga minum teh	Besides coffee, I also drink tea
Teori evolusi masih dipelajari para ilmuwan	The theory of evolution is still studied by scientists
Bahasa ini sedang dipelajari banyak orang	This language is being studied by many people
Adakah seseorang pernah tinggal di sini?	Has anyone ever lived here?
Adakah kamu akan datang besok?	Will you come tomorrow?
Adakah jalan lain menuju pasar?	Is there another road to the market?
Adakah dia sudah membaca pesanmu?	Has he or she already read your message?
Adakah alasan kamu menolak tawaran itu?	Is there a reason you rejected that offer?
Aku tidak akan menolak bantuanmu	I will not reject your help
Kami sedang berjalan menuju stasiun	We are walking toward the station
Seseorang sedang menunggu di luar	Someone is waiting outside
Aku ingin meningkatkan kemampuan bahasaku	I want to improve my language ability
Kemampuan memasaknya semakin baik sekarang	Her cooking ability is getting better now
Harga rumah semakin mahal tahun ini	House prices are increasingly expensive this year
Aku pernah tinggal di kota kecil	I once lived in a small town
Mengapa restoran itu sangat mahal?	Why is that restaurant very expensive?
Aku ingin hidup lebih sehat mulai sekarang	I want to live healthier starting now
Pemandangan gunung itu benar-benar luar biasa	That mountain view is truly amazing
Pemandangan laut itu sangat menakjubkan	That sea view is very amazing
Pemandangan dari bukit itu sangat indah	The view from that hill is very beautiful
Apakah pantai ini masih indah sekarang?	Is this beach still beautiful now?
Besok aku akan mendaki gunung ini	Tomorrow I will climb this mountain
Apakah teori itu pernah diuji ilmuwan?	Has that theory ever been tested by scientists?
Teori ini belum diuji secara ilmiah	This theory has not been tested scientifically
Apakah ilmuwan akan menguji teori baru?	Will scientists test the new theory?
Aku lahir di kota kecil	I was born in a small city
Aku belum tahu lahirnya bayi itu	I do not yet know that baby's birth
Apakah bayi itu sudah tidur?	Has the baby already fallen asleep?
Aku tidak lolos seleksi kemarin	I did not pass the selection yesterday
Aku belum lulus ujian itu	I have not passed that exam yet
Apakah dia lolos seleksi tahun ini?	Did he pass the selection this year?
Aku ingin hidup dekat dengan alam	I want to live close to nature
Rumahku tidak dekat dengan stasiun	My house is not close to the station
Bayi itu sedang tidur sekarang	That baby is sleeping now
Apakah bayi itu sudah tidur nyenyak?	Has the baby already fallen asleep soundly?
Apakah ini tujuan utama perjalananmu?	Is this the main goal of your trip?
Aku akan mencapai tujuan itu suatu hari	I will reach that goal one day
Kami akhirnya mencapai puncak gunung	We finally reached the mountain summit
Apakah kamu sudah melihat puncak itu?	Have you already seen that peak?
Suatu hari aku akan kembali	One day I will return
Dia tidak pernah membicarakan agama di kantor	He never talks about religion at the office
Mengapa mereka membicarakan masalahku tadi?	Why were they talking about my problem earlier?
Aku belum bilang apa pun padanya	I have not said anything to him yet
Aku tidak melihat apa pun di sini	I do not see anything here
Apakah seseorang sedang mencariku di luar?	Is somebody looking for me outside?
Aku sedang mencari sesuatu di tas	I am looking for something in the bag
Apakah ada siapa pun di rumah?	Is there anybody at home?
Aku tidak punya rencana apa pun	I do not have any plans
Kamu boleh memilih apa saja nanti	You may choose anything later
Apakah aku boleh masuk sekarang?	May I enter now?
Aku tidak ingin memilih jalan itu	I do not want to choose that path
Apakah kamu punya rencana lain?	Do you have another plan?
Aku akan mencoba yang lain nanti	I will try another one later
Aku sedang mencoba memahami masalah ini	I am trying to understand this problem
Aku belum memahami maksudmu tadi	I have not yet understood what you meant earlier
Apa maksud pertanyaanmu tadi?	What did your question mean earlier?
Apakah ini berarti kita harus pergi?	Does this mean we must leave?
Dia belum menjawab pertanyaan itu	He has not answered that question yet
Apakah aku harus pergi sekarang?	Do I have to leave now?
Kemarin aku harus bekerja sampai malam	Yesterday I had to work until night
Kemarin kami menunggu sampai malam	Yesterday we waited until night
Dulu aku tinggal di desa kecil	I used to live in a small village
Dulu aku berumur sepuluh tahun	Back then I was ten years old
Dulu aku tidak suka kopi	I did not like coffee before
Kemarin langit terlihat sangat cerah	Yesterday the sky looked very bright
Tadi malam aku melihat banyak bintang	Earlier tonight I saw many stars
Semalam kami mempelajari rasi bintang Orion	Last night we studied the Orion constellation
Aku hanya punya satu kesempatan	I only have one chance
Aku belum makan dua kali hari ini	I have not eaten twice today
Apakah kamu sudah membaca tiga pesan?	Have you already read three messages?
Aku akan tinggal empat hari lagi	I will stay four more days
Aku tidak punya lima alasan lagi	I no longer have five reasons
Apakah dia sudah menunggu enam jam?	Has he already waited six hours?
Aku pernah melihat tujuh bintang terang	I once saw seven bright stars
Aku tidak akan menunggu delapan menit	I will not wait eight minutes
Apakah kamu pernah membaca sembilan buku?	Have you ever read nine books?
Aku sudah berjalan sepuluh kilometer	I have already walked ten kilometers
Aku baru mulai belajar hari ini	I just started studying today
Bahasa ini bukan bentuk baku	This language is not the standard form
Apakah bentuk awan itu berubah?	Did that cloud shape change?
Awan gelap sedang menutup matahari	Dark clouds are covering the sun
Apakah langit akan menjadi gelap?	Will the sky become dark?
Aku belum membeli kamus baru	I have not bought a new dictionary
Apakah kata itu masih sering dipakai?	Is that word still often used?
Aku akan pindah ke kota lain	I will move to another city
Aku tidak makan makanan biasa	I do not eat usual food
Apakah soal itu masih sulit bagimu?	Is that question still difficult for you?
Aku sedang memikirkan satu soal	I am thinking about one question
Apakah dia masih terlihat muda?	Does he still look young?
Aku sedang memikirkan rencana baru	I am thinking about a new plan
Aku tidak pernah melupakan janji itu	I never forget that promise
Dia bukan orang baru di sini	He is not a new person here
Anak kucing itu terlihat sangat imut	That kitten looks very cute
Aku tidak menganggap itu lucu	I do not consider that funny
Apakah kamu menganggap itu penting?	Do you consider that important?
Dia pernah terlihat sangat cantik	She once looked very beautiful
Apakah kamu suka makan kacang?	Do you like eating nuts?
Aku belum beli kecap hari ini	I haven't bought soy sauce today
Apakah kamu sudah memotong bawang?	Have you already cut the onion?
Aku pernah menunggang kuda di desa	I once rode a horse in the village
Aku sedang berlari menuju halte	I am running toward the bus stop
Aku akan menunggang kuda besok pagi	I will ride a horse tomorrow morning
Aku tidak percaya tipuan itu	I do not believe that deception
Apakah kamu percaya ceritaku kemarin?	Do you believe my story yesterday?
Dia penipu, aku tidak akan percaya	He is a scammer, I will not believe
Aku hampir terlambat tadi pagi	I almost arrived late this morning
Aku sedang olahraga di taman	I am exercising in the park
Apakah kamu sudah berolahraga pagi ini?	Have you already exercised this morning?
Aku belum berlatih hari ini	I have not practiced today
Aku sudah mencoba tiga kali	I have already tried three times
Apakah aku akan mendapat kesempatan lagi?	Will I get another opportunity?
Sepatu ini sudah sering dipakai	These shoes have been used often
Aku akan mendapat kabar baik besok	I will get good news tomorrow
Apakah olahraga memberi banyak manfaat?	Does exercise give many benefits?
Aku tidak memberi jawaban tadi	I did not give an answer earlier
Ini bukan jenis kopi favoritku	This is not my favorite type of coffee
Apakah ini makanan favoritmu?	Is this your favorite food?
Tenagaku sudah hampir terkuras hari ini	My energy is almost drained today
Tenagaku belum kembali setelah olahraga	My energy has not returned after exercise
Apakah kamu akan kembali malam ini?	Will you return tonight?
Kami makan lalu langsung pulang	We ate then went straight home
Apakah jarum itu sudah disterilkan?	Has that needle already been sterilized?
Alat itu belum disterilkan tadi	That tool was not sterilized earlier
Apakah alat ini akan dipakai besok?	Will this tool be used tomorrow?
Aku langsung pulang setelah kerja	I went straight home after work
Jenis musik itu tidak aku suka	I do not like that type of music
Apakah kamu sudah mengenal diri sendiri?	Do you already know yourself?
Dia akhirnya mendapat pengakuan atas karyanya	He finally received recognition for his work
Apakah dia sudah memberi pengakuan kesalahan?	Has he already given acknowledgement of the mistake?
Besok manajer akan memberi penilaian kerjaku	Tomorrow the manager will give an appraisal of my work
Aku belum memakai benang gigi hari ini	I haven't used dental floss today
Apakah meja ini sudah dipoles kemarin?	Was this table polished yesterday?
Mereka akan merombak sistem lama	They will revamp the old system
Aku sedang mengetik laporan penting	I am typing an important report
Keahlian itu belum aku kuasai	I have not mastered that expertise
Aku belum kuasai teknik ini	I have not mastered this technique
Apakah teknik ini sering dipakai?	Is this technique often used?
Aku sering makan di warung itu	I often eat at that food stall
Kios itu belum buka hari ini	That stall has not opened today
Apakah kios ini menjual kartu SIM?	Does this kiosk sell SIM cards?
