Front	Back
That pipe started leaking earlier this morning	Pipa itu mulai bocor tadi pagi
Why is that door not tightly closed?	Mengapa pintu itu tidak tertutup rapat?
The main road is closed because of flooding	Jalan utama tertutup karena banjir
Please close the window before sleeping	Tolong tutup jendela sebelum tidur
Please do not touch that item	Tolong jangan sentuh barang itu
This is not the main reason I left	Ini bukan alasan utama aku pergi
Does this area often get floods?	Apakah daerah ini sering terkena banjir?
Our house was affected by flooding last night	Rumah kami terkena banjir semalam
Last night I almost did not sleep	Semalam aku hampir tidak tidur
That restaurant is already famous in the city	Restoran itu sudah terkenal di kota
Why is that market very crowded?	Mengapa pasar itu sangat ramai?
They decided to divorce last year	Mereka memutuskan untuk cerai tahun lalu
The sky this morning looks very bright	Langit pagi ini terlihat sangat cerah
Has he already met his wife?	Apakah dia sudah bertemu istrinya?
I do not know the meaning of that word	Aku tidak tahu artinya kata itu
Do you know the answer?	Apakah kamu tahu jawabannya?
I do not yet understand the meaning of that sentence	Aku belum mengerti arti kalimat itu
That sentence sounds very strange	Kalimat itu terdengar sangat aneh
I will search for that address later	Aku akan cari alamat itu nanti
If it rains, I will still go	Jika hujan turun, aku tetap pergi
I have not found his house address yet	Aku belum menemukan alamat rumahnya
Do you want tea or coffee?	Kamu ingin teh atau kopi?
The price of that bag is almost one million	Harga tas itu hampir seribu ribu
I paid only one thousand rupiah	Aku membayar seribu rupiah saja
I have not paid the electricity bill	Aku belum membayar tagihan listrik
That price is too expensive for me	Harga itu terlalu mahal untukku
This bill must be paid today	Tagihan ini harus dibayar hari ini
Why is the electricity in the house out?	Mengapa listrik di rumah mati?
That movie has not been watched by me	Film itu belum ditonton oleh aku
The book that I am looking for is not here yet	Buku yang aku cari belum ada
My house is near the station	Rumahku dekat dengan stasiun
I spoke with him earlier	Aku berbicara dengan dia tadi
That station is not too far	Stasiun itu tidak terlalu jauh
This bag is too heavy to carry	Tas ini terlalu berat untuk dibawa
That car stopped in front of the house	Mobil itu berhenti di depan rumah
I will move house next year	Aku akan pindah rumah tahun depan
He knocked on the door, then entered	Dia mengetuk pintu, lalu masuk
Who knocked on the door earlier?	Siapa yang mengetuk pintu tadi?
I did not enter the office today	Aku tidak masuk kantor hari ini
My child is very interested in science	Anakku sangat tertarik pada sains
I rarely use that application	Aku jarang menggunakan aplikasi itu
Besides coffee, I also drink tea	Selain kopi, aku juga minum teh
The theory of evolution is still studied by scientists	Teori evolusi masih dipelajari para ilmuwan
This language is being studied by many people	Bahasa ini sedang dipelajari banyak orang
Has anyone ever lived here?	Adakah seseorang pernah tinggal di sini?
Will you come tomorrow?	Adakah kamu akan datang besok?
Is there another road to the market?	Adakah jalan lain menuju pasar?
Has he or she already read your message?	Adakah dia sudah membaca pesanmu?
Is there a reason you rejected that offer?	Adakah alasan kamu menolak tawaran itu?
I will not reject your help	Aku tidak akan menolak bantuanmu
We are walking toward the station	Kami sedang berjalan menuju stasiun
Someone is waiting outside	Seseorang sedang menunggu di luar
I want to improve my language ability	Aku ingin meningkatkan kemampuan bahasaku
Her cooking ability is getting better now	Kemampuan memasaknya semakin baik sekarang
House prices are increasingly expensive this year	Harga rumah semakin mahal tahun ini
I once lived in a small town	Aku pernah tinggal di kota kecil
Why is that restaurant very expensive?	Mengapa restoran itu sangat mahal?
I want to live healthier starting now	Aku ingin hidup lebih sehat mulai sekarang
That mountain view is truly amazing	Pemandangan gunung itu benar-benar luar biasa
That sea view is very amazing	Pemandangan laut itu sangat menakjubkan
The view from that hill is very beautiful	Pemandangan dari bukit itu sangat indah
Is this beach still beautiful now?	Apakah pantai ini masih indah sekarang?
Tomorrow I will climb this mountain	Besok aku akan mendaki gunung ini
Has that theory ever been tested by scientists?	Apakah teori itu pernah diuji ilmuwan?
This theory has not been tested scientifically	Teori ini belum diuji secara ilmiah
Will scientists test the new theory?	Apakah ilmuwan akan menguji teori baru?
I was born in a small city	Aku lahir di kota kecil
I do not yet know that baby's birth	Aku belum tahu lahirnya bayi itu
Has the baby already fallen asleep?	Apakah bayi itu sudah tidur?
I did not pass the selection yesterday	Aku tidak lolos seleksi kemarin
I have not passed that exam yet	Aku belum lulus ujian itu
Did he pass the selection this year?	Apakah dia lolos seleksi tahun ini?
I want to live close to nature	Aku ingin hidup dekat dengan alam
My house is not close to the station	Rumahku tidak dekat dengan stasiun
That baby is sleeping now	Bayi itu sedang tidur sekarang
Has the baby already fallen asleep soundly?	Apakah bayi itu sudah tidur nyenyak?
Is this the main goal of your trip?	Apakah ini tujuan utama perjalananmu?
I will reach that goal one day	Aku akan mencapai tujuan itu suatu hari
We finally reached the mountain summit	Kami akhirnya mencapai puncak gunung
Have you already seen that peak?	Apakah kamu sudah melihat puncak itu?
One day I will return	Suatu hari aku akan kembali
He never talks about religion at the office	Dia tidak pernah membicarakan agama di kantor
Why were they talking about my problem earlier?	Mengapa mereka membicarakan masalahku tadi?
I have not said anything to him yet	Aku belum bilang apa pun padanya
I do not see anything here	Aku tidak melihat apa pun di sini
Is somebody looking for me outside?	Apakah seseorang sedang mencariku di luar?
I am looking for something in the bag	Aku sedang mencari sesuatu di tas
Is there anybody at home?	Apakah ada siapa pun di rumah?
I do not have any plans	Aku tidak punya rencana apa pun
You may choose anything later	Kamu boleh memilih apa saja nanti
May I enter now?	Apakah aku boleh masuk sekarang?
I do not want to choose that path	Aku tidak ingin memilih jalan itu
Do you have another plan?	Apakah kamu punya rencana lain?
I will try another one later	Aku akan mencoba yang lain nanti
I am trying to understand this problem	Aku sedang mencoba memahami masalah ini
I have not yet understood what you meant earlier	Aku belum memahami maksudmu tadi
What did your question mean earlier?	Apa maksud pertanyaanmu tadi?
Does this mean we must leave?	Apakah ini berarti kita harus pergi?
He has not answered that question yet	Dia belum menjawab pertanyaan itu
Do I have to leave now?	Apakah aku harus pergi sekarang?
Yesterday I had to work until night	Kemarin aku harus bekerja sampai malam
Yesterday we waited until night	Kemarin kami menunggu sampai malam
I used to live in a small village	Dulu aku tinggal di desa kecil
Back then I was ten years old	Dulu aku berumur sepuluh tahun
I did not like coffee before	Dulu aku tidak suka kopi
Yesterday the sky looked very bright	Kemarin langit terlihat sangat cerah
Earlier tonight I saw many stars	Tadi malam aku melihat banyak bintang
Last night we studied the Orion constellation	Semalam kami mempelajari rasi bintang Orion
I only have one chance	Aku hanya punya satu kesempatan
I have not eaten twice today	Aku belum makan dua kali hari ini
Have you already read three messages?	Apakah kamu sudah membaca tiga pesan?
I will stay four more days	Aku akan tinggal empat hari lagi
I no longer have five reasons	Aku tidak punya lima alasan lagi
Has he already waited six hours?	Apakah dia sudah menunggu enam jam?
I once saw seven bright stars	Aku pernah melihat tujuh bintang terang
I will not wait eight minutes	Aku tidak akan menunggu delapan menit
Have you ever read nine books?	Apakah kamu pernah membaca sembilan buku?
I have already walked ten kilometers	Aku sudah berjalan sepuluh kilometer
I just started studying today	Aku baru mulai belajar hari ini
This language is not the standard form	Bahasa ini bukan bentuk baku
Did that cloud shape change?	Apakah bentuk awan itu berubah?
Dark clouds are covering the sun	Awan gelap sedang menutup matahari
Will the sky become dark?	Apakah langit akan menjadi gelap?
I have not bought a new dictionary	Aku belum membeli kamus baru
Is that word still often used?	Apakah kata itu masih sering dipakai?
I will move to another city	Aku akan pindah ke kota lain
I do not eat usual food	Aku tidak makan makanan biasa
Is that question still difficult for you?	Apakah soal itu masih sulit bagimu?
I am thinking about one question	Aku sedang memikirkan satu soal
Does he still look young?	Apakah dia masih terlihat muda?
I am thinking about a new plan	Aku sedang memikirkan rencana baru
I never forget that promise	Aku tidak pernah melupakan janji itu
He is not a new person here	Dia bukan orang baru di sini
That kitten looks very cute	Anak kucing itu terlihat sangat imut
I do not consider that funny	Aku tidak menganggap itu lucu
Do you consider that important?	Apakah kamu menganggap itu penting?
She once looked very beautiful	Dia pernah terlihat sangat cantik
Do you like eating nuts?	Apakah kamu suka makan kacang?
He finally received recognition for his work	Dia akhirnya mendapat pengakuan atas karyanya
Has he already given acknowledgement of the mistake?	Apakah dia sudah memberi pengakuan kesalahan?
Tomorrow the manager will give an appraisal of my work	Besok manajer akan memberi penilaian kerjaku
I haven't used dental floss today	Aku belum memakai benang gigi hari ini
Was this table polished yesterday?	Apakah meja ini sudah dipoles kemarin?
They will revamp the old system	Mereka akan merombak sistem lama
I am typing an important report	Aku sedang mengetik laporan penting
I have not mastered that expertise	Keahlian itu belum aku kuasai
I have not mastered this technique	Aku belum kuasai teknik ini
Is this technique often used?	Apakah teknik ini sering dipakai?
I often eat at that food stall	Aku sering makan di warung itu
That stall has not opened today	Kios itu belum buka hari ini
Does this kiosk sell SIM cards?	Apakah kios ini menjual kartu SIM?
I haven't bought soy sauce today	Aku belum beli kecap hari ini
Have you already cut the onion?	Apakah kamu sudah memotong bawang?
I once rode a horse in the village	Aku pernah menunggang kuda di desa
I am running toward the bus stop	Aku sedang berlari menuju halte
I will ride a horse tomorrow morning	Aku akan menunggang kuda besok pagi
I do not believe that deception	Aku tidak percaya tipuan itu
Do you believe my story yesterday?	Apakah kamu percaya ceritaku kemarin?
He is a scammer, I will not believe	Dia penipu, aku tidak akan percaya
I almost arrived late this morning	Aku hampir terlambat tadi pagi
I am exercising in the park	Aku sedang olahraga di taman
Have you already exercised this morning?	Apakah kamu sudah berolahraga pagi ini?
I have not practiced today	Aku belum berlatih hari ini
I have already tried three times	Aku sudah mencoba tiga kali
Will I get another opportunity?	Apakah aku akan mendapat kesempatan lagi?
These shoes have been used often	Sepatu ini sudah sering dipakai
I will get good news tomorrow	Aku akan mendapat kabar baik besok
Does exercise give many benefits?	Apakah olahraga memberi banyak manfaat?
I did not give an answer earlier	Aku tidak memberi jawaban tadi
This is not my favorite type of coffee	Ini bukan jenis kopi favoritku
Is this your favorite food?	Apakah ini makanan favoritmu?
My energy is almost drained today	Tenagaku sudah hampir terkuras hari ini
My energy has not returned after exercise	Tenagaku belum kembali setelah olahraga
Will you return tonight?	Apakah kamu akan kembali malam ini?
We ate then went straight home	Kami makan lalu langsung pulang
Has that needle already been sterilized?	Apakah jarum itu sudah disterilkan?
That tool was not sterilized earlier	Alat itu belum disterilkan tadi
Will this tool be used tomorrow?	Apakah alat ini akan dipakai besok?
I went straight home after work	Aku langsung pulang setelah kerja
I do not like that type of music	Jenis musik itu tidak aku suka
Do you already know yourself?	Apakah kamu sudah mengenal diri sendiri?
Are they openly discussing about blowjobs?	Mereka membicarakan seks oral secara terbuka?
He speaks honestly to me	Dia berbicara secara jujur kepadaku
Is that stall still open?	Apakah warung itu masih terbuka?
Our personal data is protected by this system	Data pribadi kita dilindungi sistem ini
I do not know my new neighbor yet	Aku belum mengenal tetangga baruku
Is your new neighbor friendly?	Apakah tetangga barumu ramah?
I will enter after they leave	Aku akan masuk setelah mereka pergi
I am listening to new music	Aku sedang mendengarkan musik baru
This soup is too salty for me	Sup ini terlalu asin bagiku
Has your sibling ever lived in Jakarta?	Apakah saudaramu pernah tinggal di Jakarta?
He is not stubborn anymore now	Dia tidak keras kepala lagi sekarang
Do not hit the table too hard	Jangan memukul meja terlalu keras
My head has hurt since yesterday	Kepalaku masih sakit sejak kemarin
I have not added salt to the soup yet	Aku belum menambahkan garam ke sup
I do not add sugar to coffee	Aku tidak menambahkan gula ke kopi
I will add a comment later	Aku akan menambahkan komentar nanti
Have you bought flour today?	Apakah kamu sudah membeli tepung hari ini?
I have not bought that concert ticket yet	Aku belum membeli tiket konser itu
That farmer is planting new seeds	Petani itu sedang menanam biji baru
We will plant a mango tree tomorrow	Kami akan menanam pohon mangga besok
I do not like mango juice	Aku tidak suka jus mangga
That old tree has not been cut down yet	Pohon tua itu belum ditebang
That farmer is checking his soil	Petani itu sedang memeriksa tanahnya
This soil is not suitable for rice	Tanah ini tidak cocok untuk padi
Is this color suitable for you?	Apakah warna ini cocok untukmu?
I am preparing spices for the soup	Aku sedang menyiapkan bumbu untuk sup
The color of the sky will change later	Warna langit akan berubah nanti
I cannot handle very spicy food	Aku tidak tahan makanan terlalu pedas
Who tampered with that package seal?	Siapa merusak segel paket itu?
I cannot endure waiting long	Aku tidak tahan menunggu lama
This bottle’s seal has not been opened	Segel botol ini belum dibuka
I will massage your shoulder for a moment	Aku akan pijat bahumu sebentar
He is massaging my shoulder now	Dia sedang memijat bahuku sekarang
They are preparing a special event tonight	Mereka sedang menyiapkan acara khusus malam ini
That fake medicine can harm patients	Obat palsu itu bisa membahayakan pasien
That watch turned out to be fake	Jam itu ternyata palsu
Turns out he has not read my message yet	Ternyata dia belum membaca pesanku
Is that place full of danger?	Apakah tempat itu penuh bahaya?
That patient is waiting for the doctor	Pasien itu sedang menunggu dokter
This glass is already full now	Gelas ini sudah penuh sekarang
He refused the bribe from that official	Dia menolak suap dari pejabat itu
Cigarette smoke is very harmful for children	Asap rokok sangat berbahaya bagi anak
That official has not answered our question yet	Pejabat itu belum menjawab pertanyaan kami
That kitchen smoke enters my house	Asap dapur itu masuk rumahku
My father stopped smoking last year	Ayahku berhenti merokok tahun lalu
Mother is cooking in the kitchen	Ibu sedang memasak di dapur
He has not received clearance to enter	Dia belum mendapat izin masuk
Is this painting truly original?	Apakah lukisan ini benar-benar asli?
He is not used to foreign culture yet	Dia belum terbiasa dengan budaya asing
I am not used to waking very early	Aku belum terbiasa bangun sangat pagi
This is not the original signature	Ini bukan tanda tangan asli
Is that coin truly original?	Apakah koin itu benar-benar asli?
He finally found the original document	Dia akhirnya menemukan dokumen asli
We will examine the original item tomorrow	Kami akan memeriksa barang asli besok
That painting looks very authentic	Lukisan itu tampak sangat asli
I am not used to foreign languages yet	Aku belum terbiasa dengan bahasa asing
Does that restaurant serve foreign food?	Apakah restoran itu menyajikan makanan asing?
He once worked at a foreign company	Dia pernah bekerja di perusahaan asing
Foreign culture sometimes feels strange to me	Budaya asing kadang terasa aneh bagiku
We will learn foreign words tomorrow	Kami akan belajar kata asing besok
That restaurant serves hot soup	Restoran itu menyajikan sup panas
That house has appeared empty since yesterday	Rumah itu tampak kosong sejak kemarin
I sometimes forget to bring my key	Aku kadang lupa membawa kunci
I sometimes walk to the stall at night	Aku kadang berjalan ke warung malam
Sometimes I do not understand his jokes	Kadang aku tidak memahami leluconnya
Do you sometimes miss your old home?	Apakah kamu kadang merindukan rumah lama?
We will sometimes meet after work	Kami kadang akan bertemu setelah kerja
I miss my old friend	Aku merindukan sahabat lamaku
He is telling a funny joke	Dia sedang menceritakan lelucon lucu
My close friend will come visit tomorrow	Sahabatku akan datang berkunjung besok
We will visit his house tomorrow	Kami akan berkunjung ke rumahnya besok
That project has not finished until now	Proyek itu belum selesai sampai sekarang
He bought a new suit yesterday	Dia membeli setelan baru kemarin
We will travel south tomorrow	Kami akan bepergian ke selatan besok
I rarely travel far alone	Aku jarang bepergian jauh sendirian
Is that market far from here?	Apakah pasar itu jauh dari sini?
