Front	Back
Susu di kulkas sudah habis	The milk in the fridge is already finished
Aku akan menggunakan oven nanti	I will use the oven later
Apakah kompor itu masih panas?	Is that stove still hot?
Dia sedang menunggu di luar	He or she is waiting outside
Udara di luar terasa sangat segar	The air outside feels very fresh
Minuman ini tidak terasa segar	This drink does not taste fresh
Obat ini harus diminum sebelum makan	This medicine must be taken before eating
Makanan ini terasa terlalu asin	This food tastes too salty
Kue itu sudah dimakan adikku	That cake has been eaten by my younger sibling
Adikku belum pulang dari sekolah	My younger sibling has not returned from school
Apakah saudaramu tinggal di sini?	Does your sibling live here?
Akhirnya aku menemukan kunci itu	Finally I found that key
Aku tidak menemukan dompetku tadi	I did not find my wallet earlier
Apakah kamu melihat kunci mobilku?	Did you see my car key?
Dompet itu hampir jatuh tadi	That wallet almost fell earlier
Aku pernah jatuh dari sepeda	I once fell from a bicycle
Sepeda itu belum diperbaiki sejak kemarin	That bicycle has not been repaired since yesterday
Aku akan memperbaiki sepeda itu besok	I will repair that bicycle tomorrow
Pintu ini belum diperbaiki oleh tukang	This door has not been repaired by the worker
Tukang itu sedang memperbaiki atap	That craftsman is repairing the roof
Apakah atap rumahmu pernah bocor?	Has your house roof ever leaked?
Pipa itu mulai bocor tadi pagi	That pipe started leaking earlier this morning
Mengapa pintu itu tidak tertutup rapat?	Why is that door not tightly closed?
Jalan utama tertutup karena banjir	The main road is closed because of flooding
Tolong tutup jendela sebelum tidur	Please close the window before sleeping
Tolong jangan sentuh barang itu	Please do not touch that item
Ini bukan alasan utama aku pergi	This is not the main reason I left
Apakah daerah ini sering terkena banjir?	Does this area often get floods?
Rumah kami terkena banjir semalam	Our house was affected by flooding last night
Restoran itu sudah terkenal di kota	That restaurant is already famous in the city
Mengapa pasar itu sangat ramai?	Why is that market very crowded?
Mereka memutuskan untuk cerai tahun lalu	They decided to divorce last year
Langit pagi ini terlihat sangat cerah	The sky this morning looks very bright
Apakah dia sudah bertemu istrinya?	Has he already met his wife?
Aku tidak tahu artinya kata itu	I do not know the meaning of that word
Aku belum mengerti arti kalimat itu	I do not yet understand the meaning of that sentence
Aku akan cari alamat itu nanti	I will search for that address later
Jika hujan turun, aku tetap pergi	If it rains, I will still go
Aku belum menemukan alamat rumahnya	I have not found his house address yet
Kamu ingin teh atau kopi?	Do you want tea or coffee?
Harga tas itu hampir seribu ribu	The price of that bag is almost one million
Aku membayar seribu rupiah saja	I paid only one thousand rupiah
Aku belum membayar tagihan listrik	I have not paid the electricity bill
Harga itu terlalu mahal untukku	That price is too expensive for me
Tagihan ini harus dibayar hari ini	This bill must be paid today
Mengapa listrik di rumah mati?	Why is the electricity in the house out?
Film itu belum ditonton oleh aku	That movie has not been watched by me
Buku yang aku cari belum ada	The book that I am looking for is not here yet
Rumahku dekat dengan stasiun	My house is near the station
Aku berbicara dengan dia tadi	I spoke with him earlier
Stasiun itu tidak terlalu jauh	That station is not too far
Tas ini terlalu berat untuk dibawa	This bag is too heavy to carry
Dia mengetuk pintu, lalu masuk	He knocked on the door, then entered
Siapa yang mengetuk pintu tadi?	Who knocked on the door earlier?
Anakku sangat tertarik pada sains	My child is very interested in science
Selain kopi, aku juga minum teh	Besides coffee, I also drink tea
Teori evolusi masih dipelajari para ilmuwan	The theory of evolution is still studied by scientists
Bahasa ini sedang dipelajari banyak orang	This language is being studied by many people
Adakah seseorang pernah tinggal di sini?	Has anyone ever lived here?
Adakah jalan lain menuju pasar?	Is there another road to the market?
Adakah dia sudah membaca pesanmu?	Has he or she already read your message?
Adakah alasan kamu menolak tawaran itu?	Is there a reason you rejected that offer?
Aku tidak akan menolak bantuanmu	I will not reject your help
Kami sedang berjalan menuju stasiun	We are walking toward the station
Aku ingin meningkatkan kemampuan bahasaku	I want to improve my language ability
Kemampuan memasaknya semakin baik sekarang	Her cooking ability is getting better now
Aku ingin hidup lebih sehat mulai sekarang	I want to live healthier starting now
Pemandangan gunung itu benar-benar luar biasa	That mountain view is truly amazing
Pemandangan laut itu sangat menakjubkan	That sea view is very amazing
Pemandangan dari bukit itu sangat indah	The view from that hill is very beautiful
Apakah pantai ini masih indah sekarang?	Is this beach still beautiful now?
Besok aku akan mendaki gunung ini	Tomorrow I will climb this mountain
Apakah teori itu pernah diuji ilmuwan?	Has that theory ever been tested by scientists?
Teori ini belum diuji secara ilmiah	This theory has not been tested scientifically
Apakah ilmuwan akan menguji teori baru?	Will scientists test the new theory?
Aku lahir di kota kecil	I was born in a small city
Aku belum tahu lahirnya bayi itu	I do not yet know that baby's birth
Aku tidak lolos seleksi kemarin	I did not pass the selection yesterday
Aku belum lulus ujian itu	I have not passed that exam yet
Aku ingin hidup dekat dengan alam	I want to live close to nature
Apakah bayi itu sudah tidur nyenyak?	Has the baby already fallen asleep soundly?
Apakah ini tujuan utama perjalananmu?	Is this the main goal of your trip?
Aku akan mencapai tujuan itu suatu hari	I will reach that goal one day
Kami akhirnya mencapai puncak gunung	We finally reached the mountain summit
Dia tidak pernah membicarakan agama di kantor	He never talks about religion at the office
Mengapa mereka membicarakan masalahku tadi?	Why were they talking about my problem earlier?
Aku belum bilang apa pun padanya	I have not said anything to him yet
Apakah seseorang sedang mencariku di luar?	Is somebody looking for me outside?
Aku sedang mencari sesuatu di tas	I am looking for something in the bag
Kamu boleh memilih apa saja nanti	You may choose anything later
Aku akan mencoba yang lain nanti	I will try another one later
Aku sedang mencoba memahami masalah ini	I am trying to understand this problem
Aku belum memahami maksudmu tadi	I have not yet understood what you meant earlier
Apa maksud pertanyaanmu tadi?	What did your question mean earlier?
Apakah ini berarti kita harus pergi?	Does this mean we must leave?
Dia belum menjawab pertanyaan itu	He has not answered that question yet
Dulu aku tinggal di desa kecil	I used to live in a small village
Dulu aku berumur sepuluh tahun	Back then I was ten years old
Dulu aku tidak suka kopi	I did not like coffee before
Tadi malam aku melihat banyak bintang	Earlier tonight I saw many stars
Semalam kami mempelajari rasi bintang Orion	Last night we studied the Orion constellation
Aku hanya punya satu kesempatan	I only have one chance
Aku belum makan dua kali hari ini	I have not eaten twice today
Apakah kamu sudah membaca tiga pesan?	Have you already read three messages?
Aku akan tinggal empat hari lagi	I will stay four more days
Aku tidak punya lima alasan lagi	I no longer have five reasons
Apakah dia sudah menunggu enam jam?	Has he already waited six hours?
Aku pernah melihat tujuh bintang terang	I once saw seven bright stars
Apakah kamu pernah membaca sembilan buku?	Have you ever read nine books?
Aku sudah berjalan sepuluh kilometer	I have already walked ten kilometers
Bahasa ini bukan bentuk baku	This language is not the standard form
Apakah bentuk awan itu berubah?	Did that cloud shape change?
Awan gelap sedang menutup matahari	Dark clouds are covering the sun
Aku belum membeli kamus baru	I have not bought a new dictionary
Apakah kata itu masih sering dipakai?	Is that word still often used?
Apakah soal itu masih sulit bagimu?	Is that question still difficult for you?
Aku sedang memikirkan satu soal	I am thinking about one question
Apakah dia masih terlihat muda?	Does he still look young?
Anak kucing itu terlihat sangat imut	That kitten looks very cute
Aku tidak menganggap itu lucu	I do not consider that funny
Dia pernah terlihat sangat cantik	She once looked very beautiful
Apakah kamu suka makan kacang?	Do you like eating nuts?
Aku belum beli kecap hari ini	I haven't bought soy sauce today
Apakah kamu sudah memotong bawang?	Have you already cut the onion?
Aku pernah menunggang kuda di desa	I once rode a horse in the village
Aku sedang berlari menuju halte	I am running toward the bus stop
Aku tidak percaya tipuan itu	I do not believe that deception
Apakah kamu percaya ceritaku kemarin?	Do you believe my story yesterday?
Dia penipu, aku tidak akan percaya	He is a scammer, I will not believe
Aku sedang olahraga di taman	I am exercising in the park
Apakah kamu sudah berolahraga pagi ini?	Have you already exercised this morning?
Aku belum berlatih hari ini	I have not practiced today
Apakah aku akan mendapat kesempatan lagi?	Will I get another opportunity?
Sepatu ini sudah sering dipakai	These shoes have been used often
Apakah olahraga memberi banyak manfaat?	Does exercise give many benefits?
Aku tidak memberi jawaban tadi	I did not give an answer earlier
Ini bukan jenis kopi favoritku	This is not my favorite type of coffee
Apakah ini makanan favoritmu?	Is this your favorite food?
Tenagaku sudah hampir terkuras hari ini	My energy is almost drained today
Kami makan lalu langsung pulang	We ate then went straight home
Apakah jarum itu sudah disterilkan?	Has that needle already been sterilized?
Alat itu belum disterilkan tadi	That tool was not sterilized earlier
Jenis musik itu tidak aku suka	I do not like that type of music
Apakah kamu sudah mengenal diri sendiri?	Do you already know yourself?
Mereka membicarakan seks oral secara terbuka?	Are they openly discussing about blowjobs?
Dia berbicara secara jujur kepadaku	He speaks honestly to me
Data pribadi kita dilindungi sistem ini	Our personal data is protected by this system
Aku belum mengenal tetangga baruku	I do not know my new neighbor yet
Apakah tetangga barumu ramah?	Is your new neighbor friendly?
Aku sedang mendengarkan musik baru	I am listening to new music
Sup ini terlalu asin bagiku	This soup is too salty for me
Dia tidak keras kepala lagi sekarang	He is not stubborn anymore now
Jangan memukul meja terlalu keras	Do not hit the table too hard
Kepalaku masih sakit sejak kemarin	My head has hurt since yesterday
Aku belum menambahkan garam ke sup	I have not added salt to the soup yet
Aku tidak menambahkan gula ke kopi	I do not add sugar to coffee
Aku akan menambahkan komentar nanti	I will add a comment later
Apakah kamu sudah membeli tepung hari ini?	Have you bought flour today?
Aku belum membeli tiket konser itu	I have not bought that concert ticket yet
Petani itu sedang menanam biji baru	That farmer is planting new seeds
Kami akan menanam pohon mangga besok	We will plant a mango tree tomorrow
Aku tidak suka jus mangga	I do not like mango juice
Pohon tua itu belum ditebang	That old tree has not been cut down yet
Petani itu sedang memeriksa tanahnya	That farmer is checking his soil
Tanah ini tidak cocok untuk padi	This soil is not suitable for rice
Apakah warna ini cocok untukmu?	Is this color suitable for you?
Aku sedang menyiapkan bumbu untuk sup	I am preparing spices for the soup
Aku tidak tahan makanan terlalu pedas	I cannot handle very spicy food
Siapa merusak segel paket itu?	Who tampered with that package seal?
Segel botol ini belum dibuka	This bottle’s seal has not been opened
Aku akan pijat bahumu sebentar	I will massage your shoulder for a moment
Dia sedang memijat bahuku sekarang	He is massaging my shoulder now
Mereka sedang menyiapkan acara khusus malam ini	They are preparing a special event tonight
Obat palsu itu bisa membahayakan pasien	That fake medicine can harm patients
Jam itu ternyata palsu	That watch turned out to be fake
Ternyata dia belum membaca pesanku	Turns out he has not read my message yet
Apakah tempat itu penuh bahaya?	Is that place full of danger?
Gelas ini sudah penuh sekarang	This glass is already full now
Dia menolak suap dari pejabat itu	He refused the bribe from that official
Asap rokok sangat berbahaya bagi anak	Cigarette smoke is very harmful for children
Ayahku berhenti merokok tahun lalu	My father stopped smoking last year
Ibu sedang memasak di dapur	Mother is cooking in the kitchen
Dia belum mendapat izin masuk	He has not received clearance to enter
Apakah lukisan ini benar-benar asli?	Is this painting truly original?
Dia belum terbiasa dengan budaya asing	He is not used to foreign culture yet
Aku belum terbiasa bangun sangat pagi	I am not used to waking very early
Ini bukan tanda tangan asli	This is not the original signature
Apakah koin itu benar-benar asli?	Is that coin truly original?
Dia akhirnya menemukan dokumen asli	He finally found the original document
Lukisan itu tampak sangat asli	That painting looks very authentic
Apakah restoran itu menyajikan makanan asing?	Does that restaurant serve foreign food?
Dia pernah bekerja di perusahaan asing	He once worked at a foreign company
Budaya asing kadang terasa aneh bagiku	Foreign culture sometimes feels strange to me
Rumah itu tampak kosong sejak kemarin	That house has appeared empty since yesterday
Aku kadang lupa membawa kunci	I sometimes forget to bring my key
Kadang aku tidak memahami leluconnya	Sometimes I do not understand his jokes
Apakah kamu kadang merindukan rumah lama?	Do you sometimes miss your old home?
Aku merindukan sahabat lamaku	I miss my old friend
Dia sedang menceritakan lelucon lucu	He is telling a funny joke
Sahabatku akan datang berkunjung besok	My close friend will come visit tomorrow
Dia membeli setelan baru kemarin	He bought a new suit yesterday
Kami akan bepergian ke selatan besok	We will travel south tomorrow
Aku jarang bepergian jauh sendirian	I rarely travel far alone
Kepiawaian seninya sudah diakui banyak pelukis	His artistry has already been recognized by many painters
Aku belum punya kepiawaian memasak rendang	I still do not have the expertise to cook rendang
Aku sedang membeli daging segar	I am currently buying fresh meat
Dia akan belajar seni di kampus	She will study art at university
Apakah bakatmu sudah diakui gurumu?	Has your talent been recognized by your teacher?
Bakatnya belum terlihat sejak kecil	His talent has not been visible since childhood
Guru baru itu sedang menjelaskan tugas	That new teacher is currently explaining the assignment
Komentarnya sering merongrong kepercayaan diriku	His comments often undermine my confidence
Mengapa komentarmu terdengar sangat kasar?	Why does your comment sound very rude?
Bahasanya tidak kasar saat marah	His language is not rude when angry
Apakah mereka akan bakar sampah malam ini?	Will they burn the trash tonight?
Aku belum membuang sampah hari ini	I have not thrown away the trash today
Aku sedang menampal lubang kecil	I am currently patching a small hole
Mengapa gambarmu tampak begitu aneh?	Why does your picture appear so strange?
Benua itu tidak pernah aku kunjungi	I have never visited that continent
Mengapa langit tampak hitam tadi?	Why did the sky appear black earlier?
Rumah tua itu masih kuat berdiri	That old house is still standing strong
Kekuatan tim kami belum cukup	Our team's strength is not enough
Aku akan berdiri di depan kelas	I will stand in front of the class
Dia sedang menjual buah di pasar	He is selling fruit at the market
Dia pernah memulai selingkuhan rahasia	He once started a secret affair
Apakah galaksi itu sangat jauh?	Is that galaxy very far?
Aku tadi ketinggalan bus terakhir	I missed the last bus earlier
Nona itu belum tiba di kantor	That Miss has not arrived at the office yet
Mengapa kamu melewatkan detail penting itu?	Why did you miss that important detail?
Tembakannya hampir meleset dari target	His shot almost missed the target
Tembakannya tidak mengenai target	His shot did not hit the target
Panah itu akan mengenai sasaran	That arrow will hit the target
Sasaran latihan hari ini belum tercapai	Today's training target has not been achieved
Panah itu tidak terbang lurus	That arrow does not fly straight
Burung itu akan terbang saat fajar	That bird will fly at dawn
Fajar belum muncul di timur	Dawn has not appeared in the east
Kami tidak bekerja pada Selasa	We do not work on Tuesday
Aku akan kembali pada Rabu	I will return on Wednesday
Apakah kamu bekerja pada Kamis?	Do you work on Thursday?
Aku belum pernah bekerja pada Jumat	I have never worked on Friday
Kami akan berangkat pada Sabtu	We will depart on Saturday
Mengapa toko itu tutup pada Minggu?	Why is that shop closed on Sunday?
Apakah kamu pindah rumah pada Januari?	Did you move house in January?
Festival itu akan diadakan Februari	That festival will be held in February
Mengapa daun itu tetap hijau?	Why does that leaf stay green?
Langit barat tampak merah sore ini	The western sky appears red this evening
Matahari akan tenggelam di barat	The sun will set in the west
Mengapa matahari cepat tenggelam hari ini?	Why did the sun set early today?
Dia tiba-tiba melangkah menyamping dariku	He suddenly stepped aside from me
Aku tidak melangkah mundur kemarin	I did not step backward yesterday
Festival besar itu diadakan Maret	That big festival is held in March
Apakah ujianmu dimulai April?	Does your exam start in April?
Aku akan pindah kota pada Mei	I will move to another city in May
Rapat itu dijadwalkan pada Senin	That meeting is scheduled on Monday
Apakah liburanmu dimulai Juni?	Does your holiday start in June?
Kami belum merencanakan liburan tahun ini	We have not planned a vacation this year
Festival musik itu diadakan Juli	That music festival is held in July
Aku belum pernah mengunjungi Bali Agustus	I have never visited Bali in August
Apakah semester baru dimulai September?	Does the new semester start in September?
Dia tiba-tiba tertawa saat mendengar lelucon	He suddenly laughed when hearing the joke
Festival film itu diadakan Oktober	That film festival is held in October
Apakah proyek itu selesai November?	Will that project be finished in November?
Kami biasanya liburan panjang Desember	We usually take a long vacation in December
Aku tidak menemukan pena biruku	I did not find my blue pen
Apakah kapal itu menuju timur?	Is that ship heading east?
Kami tidak pernah tinggal di utara	We have never lived in the north
Desa kecil itu terletak dekat sungai	That small village is located near the river
Mengapa sungai ini tampak sangat keruh?	Why does this river look very muddy?
Mengapa dinding itu terlihat retak?	Why does that wall look cracked?
Kaca itu sudah retak sejak kemarin	That glass has been cracked since yesterday
Apakah kaca jendela itu pecah?	Did that window glass break?
Balon itu tidak pecah tadi	That balloon did not pop earlier
Mengapa wajahmu tiba-tiba merah?	Why did your face suddenly turn red?
Apakah kertas itu benar-benar putih?	Is that paper truly white?
Kertas ini tidak cukup tebal	This paper is not thick enough
Aku akan mencoba resep baru	I will try a new recipe
Resep ini belum pernah aku gunakan	I have never used this recipe
Mengapa kamu tidak pakai sepatu?	Why are you not wearing shoes?
Cahaya itu tidak cukup terang	That light is not bright enough
Lampu kecil itu akan menerangi jalan	That small lamp will illuminate the road
Aku ingin es dalam minuman	I want ice in my drink
Mengapa laut tampak biru hari ini?	Why does the sea look blue today?
Mengapa bunga itu tampak merah muda?	Why does that flower appear pink?
Bunga itu belum mekar pagi ini	That flower has not bloomed this morning
Aku belum paham kalimat itu	I still do not understand that sentence
Apakah kamu punya contoh lain?	Do you have another example?
Berita itu disiarkan lewat saluran ini	That news is broadcast through this channel
Aku akan mengikuti saranmu besok	I will follow your advice tomorrow
Aku tidak selalu mengikuti nasihatnya	I do not always follow his advice
Mengapa kamu menolak nasihatku tadi?	Why did you reject my advice earlier?
Pesan itu dikirim lewat email tadi	That message was sent through email earlier
Obrolan itu belum selesai tadi	That conversation was not finished earlier
Apakah kamu membaca utas itu?	Did you read that thread?
Pesan itu belum dibaca siapa pun	That message has not been read by anyone yet
Obrolan itu akan berlanjut nanti	That conversation will continue later
Diskusi itu tidak berlanjut lama	That discussion did not continue long
Ini bukan kesempatan terakhirku	This is not my last chance
Aplikasi itu akan diperbarui besok	That application will be updated tomorrow
Aku belum menerima panggilan darimu	I have not received a call from you yet
Dia bukan anggota klub itu	He is not a member of that club
Apakah kamu akan bergabung tim kami?	Will you join our team?
Apakah kata ini termasuk verba?	Is this word a verb?
Apakah biaya itu termasuk pajak?	Does that cost include tax?
Aku sedang mempelajari tata bahasa baru	I am studying new grammar
Tata ruang kantor itu rapi	The office layout is neat
Mejaku selalu rapi setiap pagi	My desk is always neat every morning
Video itu belum dibagikan kemarin	That video was not shared yesterday
Aku sedang cari kunci motorku	I am looking for my motorcycle key
Apakah kamu akan temu jawabannya?	Will you find the answer?
Aku belum temukan dompetku tadi	I have not found my wallet earlier
Grup itu tidak aktif lagi	That group is no longer active
Gambar itu akan dicetak besok	That image will be printed tomorrow
Pesan itu belum aku kirim	I have not sent that message yet
Foto itu tidak dicetak kemarin	That photo was not printed yesterday
Aku belum lihat hasilnya	I have not seen the result yet
Apakah ada pilihan lainnya sekarang?	Are there other options now?
Aku belum memilih kursus itu	I have not chosen that course
Pilihan itu tidak mudah bagiku	That choice is not easy for me
Proses itu akan dioptimalkan segera	That process will be optimized soon
Aku akan segera menghubungimu	I will contact you soon
Aku belum menghubungi klien itu	I have not contacted that client yet
Selamat datang di rumah kami	Welcome to our house
Aku membeli kopi dan roti	I bought coffee and bread
Semua anggota akan hadir besok	All members will attend tomorrow
Apakah aturan itu selalu diikuti?	Is that rule always followed?
Sebutan itu tidak dipakai lagi	That term is no longer used
Sepatu itu akan kubeli besok	I will buy those shoes tomorrow
Sandi itu tidak boleh dibagikan	That password must not be shared
Tandai pesan penting itu sekarang	Mark that important message now
Dia telah menyelesaikan proyek besar	He has already completed a big project
Dia bekerja sebagai penerjemah sekarang	He works as a translator now
Aku bukan penerjemah profesional	I am not a professional translator
Sesuaikan jadwalmu sebelum rapat	Adjust your schedule before the meeting
Tampilan aplikasi itu sudah berubah	The application's appearance has already changed
Cuaca tiba-tiba berubah tadi	The weather suddenly changed earlier
Balon itu tiba-tiba ciut tadi	That balloon suddenly shrank earlier
Aku kadang-kadang lupa kunci rumah	I sometimes forget the house key
Jangan sentuh tombol itu sekarang	Do not touch that button now
Aku tidak khawatir tentang ujian itu	I am not worried about that exam
Apakah tombol itu sudah ditekan?	Has that button already been pressed?
Tekan tombol merah sekarang	Press the red button now
Aku buta warna sejak kecil	I have been colorblind since childhood
Anaknya lahir tadi pagi	His child was born this morning
Apakah sup ini pakai ketumbar?	Does this soup use coriander?
